,text_tokens,text_length
11,олимпиада телек планета старт регистрация санкт петербургский университет телекоммуникация открыть регистрация участник интеллектуальный олимпиада телек планета ждать ученик школа класс студент учреждение спо курс телек планета возможность проверить свой знание область инфокоммуникация интересный задание математика информатика физика телеком онлайн отбор февраль финал спбгута март дополнительный балл поступление спбгута финалист победитель призёр приглашать телек планета участие бесплатный,56
12,спбгута принять участие работа международный образовательный выставка казахстан встреча школьник родитель пройти выставка образование карьера ноябрь алмат учиться россия ноябрь русский дом астана работать официальный представитель спбгута азиатский регион светлана смольницкий вуз ежегодно презентовать свой образовательный программа казахстан привлекать большой иностранный абитуриент программа обучение гость выставка посетить стенд спбгута первый познакомиться университет телекоммуникация время весенний образовательный выставка ход общение ребята получить консультация проведение дистанционный вступительный испытание программа подготовка направление обучение поступление рамка квота правительство рф иностранный гражданин перспектива трудоустройство окончание вуз очень приятно встретить родитель младший брат сестра наш выпускник студент семья серебрянский богданов туякбаев особенно ценный услышать слово благодарность адрес преподаватель сотрудник спбгута отметить светлана бончевец казахстан показывать отличный успех учёба научный спортивный общественный жизнь университет ждать ребята спбгута будущее учебный год,123
13,спбгута провести большой день открытый дверь санкт петербургский университет телекоммуникация пройти первый учебный год день открытый дверь школьник родитель познакомиться образовательный среда университет гость рассказать программа поступление студенческий жизнь спбгута сегодня вуз предлагать образовательный программа обучение проходить факультет ртс иксса исит фп сцт цэубить военный учебный центр институт магистратура непрерывный образование первый проректор проректор учебный работа альберт абил рассказать гость ключевой направление подготовка электроника система связь информационный безопасность представить профессия будущее который реализовать учёба спбгута встреча гость отправиться экскурсия лаборатория университет читать подробный смотреть видеоролик санкт петербургский университет телекоммуникация день открытый дверь спбгута год поступать бонч абитуриент бонч дниоткрытыхдверейспбжать вузыспб,100
14,день открытый дверь ваш телефон начинаться трансляция первый общеуниверситетский встреча спбгута абитуриент год подключаться эфир познакомиться близкий образовательный среда бонч программа приветствие руководство вуз знакомство факультет направление специальность выступление студенческий совет спбгута представление олимпиадный движение преимущество участие немой поступление ответ вопрос слушать записывать поступать бонч абитуриент бонч дниоткрытыхдверейспбжать вузыспб,49
15,спбгута ждать весь завтра день открытый дверь ноябрь самый оранжевый вуз санкт петербург провести встреча абитуриент тема образовательный среда университет ресурс возможность рассказать направление подготовка познакомить образовательный процесс особенность студенческий жизнь весь смочь приехать бонч приглашать подключиться трансляция встреча ст м улица дыбенко пр большевик ауд поступать бонч абитуриент бонч дниоткрытыхдверейспбжать вузыспб,52
16,погружение увлекательный мир идти запись цифровой академия школьник приглашать ученик класс получить новый знание попробовать решение практический исследовательский задача реальный проект декабрь стартовать курс программирование продолжать создание видеоигра продолжать компьютерный дизайн основа искусственный интеллект трёхмерный моделирование печать формат проведение занятие очный расписание занятие неделя длительность академический час начало занятие будни суббота занятие проводиться современный компьютерный класс научно образовательный центр кафедра университет адрес пр большевик корп корп преподаватель академия ведущий специалист инженер кафедра научно образовательный центр спбгута подробный информация ознакомиться тело страница цифровой академия школьник спбгута сайт ждать запись открыть,89
17,ноябрь большой день открытый дверь спбгута пятница санкт петербургский государственный университет телекоммуникация проф м бонч бруевич провести общеуниверситетский день открытый дверь приглашать абитуриент родитель тема встреча образовательный среда университет ресурс возможность абитуриент узнавать направление подготовка крупный университет минцифра россия смочь оценить возможность который предлагать бонч свой студент выпускник гость познакомить образовательный процесс спбгута особенность студенческий жизнь оранжевый вуз число спикер представитель отдел профориентация довузовский подготовка приёмный комиссия факультет кафедра студенческий объединение ждать бонкий ноябрь ст м улица дыбенко пр большевик ауд мероприятие посмотреть онлайн прямой трансляция группа вконтакте поступать бонч абитуриент бонч дниоткрытыхдверейспбжать вузыспб,94
18,спбгута пройти профориентационный экскурсия октябрь ноябрь школьник старший класс разный регион страна студент колледж санкт петербург посетить университет познакомиться кафедра лаборатория научно образовательный центр кпц музей спбгута узнать информация поступление олимпиада проект вуз участник экскурсия увидеть бонч изнутри познакомиться структура образовательный возможность оценить обстановка атмосфера университет пообщаться преподаватель студент задать вопрос получить полезный рекомендация школьник рассказать фотоник оптоинформатика некоторый факультет ученик посетить урок телек навигатор ребёнок молодёжь межрегиональный молодёжный фестиваль первый связь профориентационный экскурсия университет телекоммуникация уникальный возможность школьник узнать преимущество обучение технический университет почувствовать атмосфера инновация передовой технология опытный преподаватель современный оборудование высокий уровень образование спбгута обеспечивать карьерный перспектива область телекоммуникация информационный технология приглашать будущий абитуриент родитель день отрыть дверь пятница ноябрь ждать весь бонкий,116
19,санкт петербургский университет телекоммуникация встречать гимназист ноябрь группа учиться гимназия приморский район санкт петербург посетить спбгута познакомиться кафедра инфокоммуникационный система факультет инфокоммуникационный сеть система встреча пройти рамка развитие сотрудничество образовательный учреждение среднее образование гимназист класс который выбрать информационно технологический профиль доцент кафедра сергей кисляков прочитать лекция профориентация показать лаборатория кафедра гимназист первый посещать спбгута рамка заключить договор год университет гимназия учиться побывать мероприятие прошлый год успеть поучаствовать интеллектуальный чемпионат рубка занять место отметить чемпионат рубка старшеклассник город очень интересный событие наш профессиональный тематика инфокоммуникационный технология система связь цифровой экономика кибербезопасность развивать взаимоотношение строить траектория учиться школа работодатель прокомментировать заведовать кафедра икс василий елагин,103
20,спбгута представить направление подготовка выставка нижний новгород минувший выходной нижний новгород пройти образовательный выставка навигатор поступление собраться будущий абитуриент представитель вуз ссузов разный город россия презентовать школьник свой учебный учреждение участник санкт петербургский государственный университет телекоммуникация проф м бонч бруевич площадка работать ведущий специалист отдел профориентация довузовский подготовка юрий кузьмин ведущий специалист менеджер реклама альбина русов организатор провести школьник профориентационный тестирование дальнейший консультация итог узнать свой сильный сторона школьник переслать знакомство университет подробный узнать интересовать направление стенд бонч очень оживлённо ребята хотеть большой узнать информация оранжевый вуз санкт петербург представитель спбгута рассказать направление обучение срок публикация правило приём учебный год изменение порядок приём наличие общежитие профориентационный мероприятие студенческий жизнь спбгута рамка выставка бончевец встретиться посетить мероприятие учитель обсудить возможность проведение профориентационный работа школьный учреждение альбина юрий проинформировать экскурсия проводить школьник проект школа будущее студент факультатив открытый урок олимпиада смочь посетить выставка смочь познакомиться университет телекоммуникация мероприятие день открытый дверь ноябрь запланировать онлайн трансляция встреча,154
