,text_tokens,text_length
81,совместный проект центр искусственный интеллект ниу вшэ ао новый сервисный бюро получить премия рбк петербург эксперт центр разработать платформа предиктивной маркетинговый аналитик индустрия гостеприимство база технология ия интеллектуальный сервис предсказывать спрос гостиничный услуга давать рекомендация подходящий временной период усиление маркетинговый рекламный мероприятие коррекция ценовой политика подробный,46
82,высокий школа экономика подписать соглашение сотрудничество панамериканский университет мексика соглашение предусматривать развитие академический обмен студент создание совместный образовательный программа обмен опыт преподавание административный управление,24
83,ноябрь исполниться год профессор исследователь факультет математика вшэ президент независимый московский университет юлий ильяшенко свой любовь семья страна наука рассказать вышка свой,22
84,иван мах работать научный сотрудник международный лаборатория квантовый оптоэлектроника преподавать департамент физика санкт петербургский школа физико математический компьютерный наука питерский кампус ниу вшэ интервью проект молодой учёный вышка рассказать работа криостат замкнутый цикл разговор эйнштейн любим место родный санкт петербург молодыеученый,41
85,январь продлиться регистрация олимпиада студент выпускник высокий лига год проводиться направление дипломант получить преимущество поступление магистерский программа ниу вшэ подробный ждать участник олимпиада сезон рассказывать новостной служба вышка главное,29
86,подвести итог пятый фестиваль технологический проект победитель стать проект ньюмена инновационный браслет который позволять предотвратить кровотечение лучевой артерия проведение операция сердце призёр получить денежный вознаграждение бонус партнёр фестиваль подробность репортаж новостной служба питерский вышка,34
87,завершиться задачный тур заключительный этап национальный олимпиада анализ данные школьник предстоять работать практический задача который требовать знание основа теория вероятность математический статистика свой впечатление участник состязание поделиться новостной служба вышка главное,31
88,представитель ниу вшэ продолжать участвовать конгресс молодой учёный который проходить сочи парка наука искусство сириус эксперт университет обсудить перспектива исследование мозг популяризация наука председательство россия брикс тема подробность материал новостной служба вышка главное,33
89,управлять коммуникация решать конфликтный ситуация коллектив вызывать выгорание сотрудник избежать подборка полезный литература поделиться шамиль ахмет проректор член учёный совет ниу вшэ списоккнига,23
90,проект ниу вшэ стать победитель конкурс год получение грант российский научный фонд грант размер млн рубль ежегодно выделяться осуществление фундаментальный поисковый научный исследование год число победитель проект научный коллектив ниу вшэ санкт петербург факультет гуманитарный наука факультет экономический наука,39
91,учёный ниу вшэ разработать система прогнозирование пространственный распределение вредный вещество атмосферный воздух помощь искусственный интеллект система тестироваться совершенствоваться данные поступать точка контроль разный город регион страна разработка представить программа чудо техника телеканал нтв подробный система рассказывать новостной служба вышка главное,40
92,ноябрь юбилей отпраздновать профессор высокий школа бизнес ниу вшэ елена варшавский свой путь социология жизнь больший малый город любовь работа цифра рассказать вышка свой,24
93,декабрь корпус покровка пройти фестиваль наука программа мастер класс воркшоп квест знакомство научный объединение научный бой подробный ждать участник фестиваль рассказывать вышка свой,23
94,ниу вшэ состояться заключительный тур математический регата классник немой принять участие команда победитель стать команда московский школа ещё команда занять второй третий место математический регата командный состязание который организовать факультет математика ниу вшэ поддержка мцнмо партнёрство компания тинькофф центр педагогический мастерство подробный итог заключительный тур рассказывать новостной служба вышка главное,50
95,конгресс молодой учёный стартовать парка наука искусство сириус представить карбоновый полигон ниу вшэ покровский стенд климат океан презентовать разработать ниу вшэ прототип прибор измерительный модуль почвенный газообмен первый результат работа полигон новый разработка учёный вышка рассказывать новостной служба вышка главное,40
96,месяц платформа студенческий лидер госвышка провести сразу несколько мероприятие вышкинец посетить выставка форум россия принять участие образовательный интенсив встретиться пресс секретарь президент рф дмитрий песков помощник президент рф максим орешкин подробный пройти мероприятие студент участник платформа рассказывать вышка свой,39
