,text_tokens,text_length
14,завершиться задачный тур заключительный этап национальный олимпиада анализ данные школьник предстоять работать практический задача который требовать знание основа теория вероятность математический статистика свой впечатление участник состязание поделиться новостной служба вышка главное,31
15,завершаться регистрация конкурс игровой судебный процесс суд дело суд дело конкурс который давать возможность ученик х класс сделать первый шаг юридический профессия получить дополнительный балл поступление вышка олимпиада прийтись цитировать закон наизусть больший значение иметь умение защищать свой точка зрение грамотный аргументация регистрироваться декабрь ссылка узнать большой информация конкурс канал суд дело,52
16,подготовка идти свой черёд нужно успевать собрать карточка топ совет который помочь сократить время подготовка егэ русский язык,18
17,честь праздник вспоминать разрастаться университет рассказывать кампус ниу вшэ разный город подать документ кампус считаться подача документ вуз,18
18,завершиться отборочный этап национальный олимпиада анализ данные немой принять участие человек заключительный этап пройти школьник свой впечатление участник состязание поделиться новостной служба вышка главное,24
19,сегодня высокий школа экономика исполняться год поздравлять больший вышкинский семья праздник,11
20,вычислительный социальный наука программа бакалавриат ниу вшэ сочетать предметный подготовка углублённый изучение метод анализ данные математический моделирование первый курс мочь перейти студент поступить психология государственный муниципальный управление политология социология учить программа туда поступить рассказывать замдекан факультет социальный наука дарья присяжнюк академический руководитель программа евгений седашов,45
21,альянс сфера искусственный интеллект опубликовать рейтинг вуз россия готовить хороший специалист ия лидер стать ниу вшэ мфть итмый наш университет занять первый место критерий востребованность выпускник наём качество образовательный среда активность развитие школьный образование подробный,35
22,вышка поступить егэ результат участие олимпиада школьник разобраться способ отличаться карточка,11
23,продолжать рассказывать поступление учебный жизнь серия комикс новый выпуск история ильнур который учиться первый курс программа филология факультет гуманитарный наука наш герой теряться корпус вуз использовать приложение вышка навигация позволять находить нужный аудитория корпус строить маршрут,36
24,победитель призёр всероссийский олимпиада искусственный интеллект смочь поступить ниу вшэ вступительный испытание зачесть максимальный балл егэ информатика различный образовательный программа университет высокий школа экономика поддерживать проведение всероссийский олимпиада ия второй год итог первый сезон дипломант состязание проходить обучение ниу вшэ подробный,41
25,снимать монтировать писать предмет изучать студент программа медиакоммуникация профессионально создавать контент,11
26,делиться дайджест мероприятие неделя поступать бакалавриат ноябрь день открытый дверь факультет мировой экономика мировой политика участник узнавать особенность обучение программа порядок поступление смочь посетить лекция преподаватель пообщаться представитель факультет адрес покровский бульвар стр регистрация ноябрь день открытый дверь факультет городской региональный развитие представитель факультет рассказать особенность учебный процесс навык который приобрести студент обучение карьерный перспектива выпускник траектория поступление адрес мясницкий ауд шухов лаб регистрация ноябрь день открытый дверь факультет компьютерный наука программа мероприятие образовательный выставка фкн обсуждение карьерный траектория выпускник подробный программа адрес покровский бульвар корпус регистрация,87
27,школа дизайн ниу вшэ приглашать абитуриент день открытый дверь участник узнавать поступление учёба смочь задать интересовать вопрос ноябрь мск управление креативный индустрия подробность регистрация ноябрь мск дизайн мода подробность регистрация ноябрь мск онлайн бакалавриат дизайн подробность регистрация,37
28,уверить хотеть подавать документ сайт вышка каталог который помогать абитуриент подбор программа указать предмет который сдавать каталог отфильтровать список подходящий программа фильтр направление подготовка форма обучение город язык обучение наличие бюджетный место ссылка каталог,34
29,факультет довузовский подготовка ниу вшэ комплексный изучение предмет подготовка экзамен разный уровень выпускник фдп становиться студент хороший вуз россия добиваться свой цель подготовить статистика поступление слушатель факультет высокий школа экономика ознакомиться программа ссылка,33
30,открыть регистрация конкурс игровой судебный процесс суд дело ученик х класс олимпиада вышка хотеть научиться думать юрист попробовать роль адвокат пообщаться профессионал юридический сфера получить дополнительный балл поступление ниу вшэ зарегистрироваться декабрь ссылка узнать большой информация конкурс группа вконтакте хотеть факультет право вышка,43
31,изучать разработчик архитектор программный обеспечение рассказывать интересный предмет который преподавать факультет информатика математика компьютерный наука ниу вшэ нижний новгород программа компьютерный наука технология,23
32,,0
33,путь цель бывать тернистый верить ваш успех выделить стадия подготовка экзамен писать комментарий находиться прямо,15
34,стартовать серия вебинар ученик х класс который планировать принять участие конкурс высокий пилотаж направление спутникостроение геоинформационный технология присоединиться вебинар мочь каждый желать направить конкурс свой проект исследование необходимо январь год подробность,31
35,объединять будущий политолог философ юрист востоковед егэ история свой совет подготовиться экзамен история делиться артём тепляк преподаватель курс история лицей интернет школа факультет довузовский подготовка,25
36,,0
37,послезавтра ноябрь завершаться регистрация всероссийский олимпиада школьник высокий проба ученик х класс год состязание проводиться профиль включить перечень олимпиада школьник победитель призёр смочь поступить бюджет вступительный испытание получить балл предмет егэ зарегистрироваться олимпиада ссылка,34
38,изучать будущий управленец аналитик государственный сектор рассказывать некоторый интересный предмет который преподавать санкт петербургский школа социальный наука востоковедение ниу вшэ,20
39,ноябрь завершаться регистрация всероссийский олимпиада школьник высокий проба ученик х класс победитель призёр весь профиль мочь зачислить бюджет вступительный испытание приравнять свой диплом балл егэ подробный устроить состязание бонус ждать дипломант рассказывать новостной служба вышка главное,36
40,приёмный комиссия ниу вшэ опубликовать правило приём бакалавриат специалитет магистратура год срок поступление изменение вступительный испытание льгота абитуриент рассказывать новостной служба вышка главное,23
41,собрать самый распространить страх старшеклассник проговорить надеяться страшный бороться тревожный мысль делиться комментарий,13
