,id_поста,text_tokens,text_length,preprocessed_comments
0,1531,регистрация вс сегодня заканчиваться регистрация проект код будущее гуап твой шанс стать первоклассный специалист ещ вс потерять успевать регистрироваться,19,[]
1,1529,экспресс тест восприятие цвет готовый узнать большой писать комментарий получиться,10,"[('', 0)]"
2,1528,,0,[]
3,1527,остаться день весь день ост тся закрытие регистрация участник проект код будущее гуап оставлять дело твой шанс стать первоклассный специалист бесплатный курс программа код будущее дать практический теоретический навык программирование обучить нуль популярный язык программирование предоставить возможность поучаствовать хакатон помочь создать собственный портфолио дать балл егэ поступление первый аэрокосмический торопиться регистрация скоро закрываться,53,[]
4,1518,открыть секрет первый аэрокосмический еженедельный прямой эфир стартовать сентябрь директор институт технология предпринимательство право артур суренович рассказать актуальный информация поступление гуап год подключаться спрашивать разбираться вместе,26,[]
5,1503,знакомство первый аэрокосмический режим онлайн октябрь мск пройти первый учебный год день открытый дверь гуап онлайн формат будущий абитуриент родитель жд презентация университет образовательный программа выступление представитель комиссия гуап ответ вопрос режим онлайн жд м вк стать близкий зв здать вместе гуап,42,[]
6,1500,незабываемый пройти первый учебный год день открытый дверь гуап рада видеть каждый надеяться день вопрос остаться слово давать посмотреть пройти день листать карусель смочь прийти нетерпение жд м день открытый дверь онлайн формат который состояться октябрь н м рассказать поздний встреча первый аэрокосмический,43,[]
7,1498,амбассадор дело недавно представитель первый аэрокосмический начать проводить тематический урок школа читать поступать гуап,14,[]
8,1496,талантливый студент талантливый вс м недавно рука попасть очень интересный монолог студент первый аэрокосмический давать вместе послушать монолог ала ны увидеть удивительный мир студент изнутри привет звать титов ала студентка третий курс факультет спо специальность авиационный прибор комплекс студенческий жизнь проходить очень ярко являться участник волонт ром чемпионат профессионал компетенция инженерия космический система состоять студенческий совет факультет качество редактор свободный время заниматься споттинг фотографирование самол тов построение беспилотник летать флайтсимулятор играть скрипка фортепиано гитара часто ходить театр ранний возраст интересовать авиация привлекать величественный вид блестящий огромный птица самол тов смотреть небо слышать рассказывать весь лететь безумно нравиться вс глубокий глубокий узнавать строение самол тов изнутри отвечать вопрос летать самол пилот контролировать параметр почему самол падать почва общий интерес колледж познакомиться прекрасный человек который общаться каждый день обсуждать новость авиасообщетсв вместе ездить споттить разделять друг друг ежедневный радость представлять свой жизнь авиация прекрасный друг поддерживать очень нела гкома путь небо пол,150,[]
9,1494,остаться день завтра сентябрь состояться долгожданный день открытый дверь первый аэрокосмический приходить адрес ул ленсовет далее пропустить погрузиться мир космос голова регистрация начало официальный часть советовать прийти ранний точно успеть начало,31,[]
