,id_поста,text_tokens,text_length,preprocessed_comments
0,16041,итмый девочка любовь новый знакомый тд итмый пацан выпускник праздник остальной соболезновать,12,[]
1,16038,,0,"[('объяснить мем', 2)]"
2,16037,,0,[]
3,16036,,0,[]
4,16035,,0,[]
5,16034,мем,1,[]
6,16030,научрука декан читать объяснение студент почему диплом сей пора написать,10,[]
7,16023,анон страшно,2,"[('думать рисеча челик оригинальный видос валидный рисеча', 7), ('оооо даааа момент учить английский', 5), ('ибшник', 1)]"
8,16015,,0,"[('', 0), ('баян го', 2), ('носка россия', 2), ('бархатный информационный тяга битый', 4)]"
9,16013,живой мёртвый,2,"[('простой искать девушка', 3)]"
10,16008,,0,"[('', 0), ('проверить', 1)]"
11,16001,помянуть,1,"[('', 0), ('', 0), ('вчера вспоминать', 2), ('', 0), ('як удобно', 2)]"
12,15990,факультатив сексология начн тся практика туда студент прийти настоящий студент итмый идти ология,13,"[('', 0), ('', 0), ('ранний ягодный пытаться серьёзно продать путёвка', 6), ('поездка комментировать юлик хованский', 4), ('вс понятно дом', 3)]"
13,15987,надпись нибыть придумать каждый смысл найти,6,[]
14,15982,месяц,1,"[('отсылка бензочело мммм', 3), ('захватить бб', 2)]"
15,15955,весь подписчик день скама,4,"[('снова', 1), ('заскамиль крокодил имя геннадий', 4), ('', 0), ('хахахахахахаххахахахаха', 1), ('смысл ск подарок', 3), ('знать открыть билетик получить отдыхать весь й', 7)]"
16,15951,ясно вербовать,2,"[('пока табличка культ понятно', 4), ('', 0)]"
17,15946,,0,"[('знакомство', 1), ('ч м мем логотип оверлиф использовать латех', 7), ('первый латекс', 2), ('видеть петька знак латекс знак латекс нюанс', 7)]"
