,text_tokens,text_length
27,конференция яндекс разгар дарья козлов первый проректор итмый директор образование яндекс поделиться главный инсайт образование сегодняшний день мир делиться математик гуманитарий вс важно оценивать знание студент реальный время основа данные динамично менять траектория обучение обучение становиться близкий реальный задача роль преподаватель смещаться сторона тьютор студенческий группа высокий скорость публичность образовательный результат сокращать дистанция студент потенциальный работодатель цифровой помощник способ влюбить школьник информатика показать наш мир призма хотеть смотреть трансляция вместе приходить портал яндекс адрес кронверкский ауд,76
28,первый приходить голова речь идти предприниматель деловой портфель пакет акция белый рубашка галстук дело далеко главное листать карусель смотреть входить стартер пак начинающий предприниматель хотеть собрать приходить тренинг креативность бизнес хороший эксперт практик итмый забыть зарегистрироваться встречаться ноябрь корпус ул ломоносов ауд,42
29,задумываться обратный сторона любовь мочь пытаться станцевать мегабайт медиа совместно танцевальный коллектив выпускать новый лонгрид поднимать весь изнанка любовь комментарий психолог целый хореография вс понять проблема разрушать отношение изнутри читать смотреть анализировать доступно лонгрид вдело,35
30,конференция яндекс итмый ноябрь состояться четв ртая онлайн конференция яндекс человек технология образование ключевой тема год влияние современный технология образование сфера жизнь эксперт обсудить наладить сотрудничество бизнес вуз полный программа ознакомиться сайт желать мочь посмотреть прямой трансляция трек ярмарка образование наш новый пространство портал яндекс адрес кронверкский аудитория открытый мероприятие нужно регистрироваться приходить брать друг ждать попкорн сок,58
31,открыться новый пространство яндекс х итмый посмотреть красота эксперт компания делиться хороший кейс опыт студент общаться находить единомышленник учебный аудитория коворкинг пространство встретиться теория практика новый технология реальный проект сюда попасть приходить главный корпус кронверкский аудитория забывать следить анонс мероприятие пространство тг канал пропустить,44
32,даша который научить гриб делать стул мочь подумать речь стартап дарья токарев участница платформа университетский техпреда студентка итмый найти новый подход переработка отход помощь гриб подробный стартап читать карточка минобрнауки россия,31
33,ваш продукт медицина рассказать кандидат физико математический наука ведущий научный сотрудник руководитель лаборатория цифровой технология общественный здоровье анна андрейченко новый научный митапа цифра менять парадигма медицинский наука полезный бесполезный искусственный интеллект нужно готовый хотеть создавать цифровой продукт здравоохранение бонус спикер рассказать опыт московский эксперимент компьютерный зрение конец встреча ждать кофе брейк свежеть выпечка ноябрь ректорский холл кронверкский забыть зарегистрироваться,59
34,смотреть обсуждать вместе итмый х фанк жить человек диабет новый способ лечение придумывать наука чувствовать доброволец который согласиться участвовать клинический испытание центр научный коммуникация университет итмый фестиваль актуальный научный кино показать лента испытание надежда становиться реальность фильм пройти дискуссия лечение жизнь диабет современный реалия вместе эксперт руководитель отдел ранний разработка лекарственный средство компания герофарма максим магрук врач эндокринолог магистрант анастасия крючков ноябрь кронверкский проспект ауд вход свободный предварительный регистрация взять паспорт понадобиться вход территория корпус,75
35,регистрация олимпиада профессионал завершиться ровно неделя честь запускать розыгрыш приз зарегистрироваться трек итмый нужно участие регистрироваться трек итмый олимпиада профессионал ссылка подписаться группа организатор вконтакте наш телеграм канал сделать репост пост стена последний написать комментарий пост ссылка трек подать заявка далёкий ждать результат розыгрыш завершиться ноябрь мочь регистрироваться несколько трек сразу увеличить свой шанс победа карточка показать заветный приз стартовать желать весь удача розыгрыш генеральный партнёр сбер,67
36,стартап назвать поплыть смотреть карточка рейтинг самый креативный название стартап версия организатор тренинг итмый ноябрь собраться вместе генерить идея свой стартап тренинг дизайн мышление жд м ноябрь ул ломоносов ауд забыть зарегистрироваться писать комментарий нестандартный название стартап знать,38
37,врываться ваш день позвать международный конференция научно образовательный центр инфохимия ждать весь интересоваться роботизация цифровизация автоматизация лаборатория центр хотеть разобраться больший данные машинный обучение химия конференция пройти день включить блок ноябрь онлайн выступление ведущий учёный мир ноябрь круглый стол представитель технологический компания семинар обсуждение программа дополнительный образование инфохимия инструментарий цифровой разработка ноябрь мастер класс анализ больший данные программирование робот выдача сертификат успешный обучаться ключевой тема конференция концепт искусственный интеллект ия структурно ориентировать проектирование умный функциональный материал сбор база данные химия новый материал разработка инструментарий роботизированный лаборатория инфохимия сегодня роль хемоинформатика хемометрика трибоинформатика хемотроника участвовать мочь предварительный регистрация,97
38,нужный ваш запас мем вс дело новый коллекция наш магазин постоянно работать новинка вдохновляться студенческий прикол поэтому нужный ваш помощь оставлять комментарий пост мем фразочка студенческий жизнь локальный прикол ваш факультет забыть указать название факультет хороший комментатор получить фирменный брелок идея попасть коллекция,43
39,онлайн офлайн победить ноябрь приглашать весь интересоваться сфера обучение взрослый работа государственный образовательный учреждение онлайн митапа вуз жд онлайн высокий образование вместе эксперт нетология вуз обсудить синергия академический образование роль задача высокий онлайн образование важность комьюнити высокий онлайн образование узнать вид сотрудничество планироваться лидер рынок получить доступ бот первый дайджест сфера высокий онлайн образование встречаться онлайн ноябрь забыть зарегистрироваться ссылка,60
40,стать известный результат шанхайский предметный глобальный рейтинг год посмотреть достижение итмый единственный россия войти топ область кибернетика хороший россия категория мировой топ строчка тройка хороший российский университет категория единственный российский участник область год составитель проанализировать порядок вуз страна попасть список хороший университет мир вуз рейтинг оцениваться ряд критерий число цитируемость научный стать представить ведущий научный журнал международный соавторство наличие престижный научный награда премия преподаватель сотрудник вуз подробный результат рейтинг читать итмый,71
41,кино итмый заказывать совместно фестиваль актуальный научный кино октябрь устроить кинопоказ просмотр французский фильм производить счастие вместе эксперт философ надежда казаринов психолог ольга гофман обсудить существовать исследование счастие социальный наука культ радость почему человек одержимый счастие действительно индустрия коучинга помогать добиться осознанность встретиться октябрь медиазона ауд университет итмый ломоносов вход свободный предварительный регистрация взять паспорт мочь понадобиться вход территория корпус,60
42,вжухнуть запрограммировать успех олимпиада советовать изучить трек программирование информационный технология олимпиада профессионал самый важный аспект направление наш карточка полезный материал подробность направление материал итмый ссылка забывать регистрироваться ноябрь генеральный партнёр сбер,31
43,школа ещ кончиться хотеться тусоваться итмый приглашать национальный технологический олимпиада школьник университет итмый организовать профиль олимпиада больший дать машинный обучение интеллектуальный робототехнический система программный инженерия финансовый технология инфохимия этап пройти ноябрь предварительный результат этап опубликовать ноябрь итоговый ноябрь этап командообразование начн тся ноябрь решение задача этап необходимо приступить ноябрь участие олимпиада нужно зарегистрироваться платформа нто ссылка регистрация школьник класс ноябрь мск ждать твой команда,64
44,,0
45,вышка микроволновка мрт страшный считать некоторый влияние человеческий организм оказывать друг рассказать павел белов доктор физ мат наука профессор ран директор физико технический мегафакультет университет итмый встречаться октябрь главный сцена вход свободный предварительный регистрация,34
46,синоптик объявить следующий неделя время наш вуз понедельник появиться новый место встреча информационно развлекательный пространство узнать вс образовательный проект компания старт карьера ещ смочь создать собственный уникальный аватар помощь нейросеть пройти тест узнать работать отдохнуть пообщаться однокурсник лаундж зона посетить выступление эксперт побывать виртуальный экскурсия наш офис зарядиться энергия попить кофе выиграть классный мерч активность рамка неделя пройда выступление эксперт компания рассказать поздний следить новость наш сообщество заглядывать место встреча ждать кронверкский холл первый этаж пространство доступно весь неделя поторопиться,80
47,вчера питер заметить снег особо ждать новый год официально включать ещ сделать фотка листва,14
48,помнить самый снимка чёрный дыра который навести шумиха год знать подтвердить предположение учёный бывший теория современный физика прорыв стоять использование фотон передача данные создание невидимый суперпрочный материал исследование фундаментальный компонент вселенная собрать подборка открытие который точно удивить проект учёный итмый лежать остриё современный физика рассказывать материал,46
49,мочь интересно недавно взломать аккаунт информационный кибербезопасность самый актуальный направление олимпиада профессионал карточка рассказывать подробный трек возможность который открывать хотеть внимательный подготовиться задание узнать большой наш статья итмый напоминать регистрация олимпиада профессионал продлиться ноябрь ссылка жд м твой заявка генеральный партнёр сбер,42
50,айтишник учёный шарить дизайн лёгкость оформить свой продукт презентовать проект выделиться конкурент касаться любой специальность октябрь нина маколкина дизайнер коммуникационный агентство рассказать особенность айдентик фирменный стиль работа дизайнер обучение карьера лекция стать участник минь хакатон команда разработать фирменный стиль технологический бренд презентовать встречаться коворкинг кронверкский этаж вход свободный предварительный регистрация,50
51,чебурашка узнать прочитать неочевидный совет предпринимательство наш карточка хотеть прокачать свой навык прийти тренинг предпринимательский компетенция доставать календарик записывать важный дата октябрь дизайн мышление ул ломоносов ауд регистрация октябрь бизнес интенсив техпред стартап студия открытый инновация кронверкский пр ауд регистрация октябрь креативность бизнес генерация идея разработка реализация ул ломоносов ауд регистрация ждать тренинг забыть зарегистрироваться,55
52,сегодня пятница поэтому коммент страшный сон айтишник учёный,8
53,эрмитаж заведовать котик хотеть оказаться мир студентка итмый ева авокадо создать выиграть всероссийский чемпионат сфера творческий компетенция экономический симулятор котик реставрировать картина продавать билет охранять музей продвигать социальный сеть принести ева первый место номинация геймдизайнер полмиллиона рубль возможность пройти стажировка компания вырасти геймдева давать участие конкурс обойти геймдизайнер весь россия читать материал,52
54,хороший вступительный который победитель олимпиада профессионал цитата великий который сложно спорить добиться участвовать всероссийский олимпиада студент профессионал смочь поступить магистратура аспирантура итмый вступительный экзамен итмый реализовать направление который трек робототехника подробно рассказывать карточка статья найти полезный ссылка информация подготовка напоминать регистрация олимпиада продлиться ноябрь подробность узнать ссылка генеральный партнёр сбер,50
55,смотреть слушать вс разом время интервью ани никитин сотрудница научно образовательный центр инфохимия итмый ребята аня поговорить создание умный мембрана проект опыт работа нобелевский лауреат зарубежный возможность студент молодой учёный сегодня менеджерский работа наука формат подкаст смотреть новый выпуск канал жд м ваш сердечко качественный научный контент,47
56,достигнуть конец физика показаться обсудить рамка лекция который провести дмитрий карловец ведущий научный сотрудник новый физтех университет итмый доктор физико математический наука смочь узнать новосибирский тайга строить огромный ускоритель синхротрон скиф проблема организация финансирование наука мир тормозить развитие научный мысль новый идея лекция пройти воскресение октябрь главный сцена вход свободный предварительный регистрация,52
57,сидеть сидеть загрустить свалиться осенний хандра эффективный работа учёба призывать весь заботиться ещё поздравлять сегодня всемирный день психический здоровье заглянуть карточка поздно задуматься свой комфорт посмеяться любовь итмый,28
58,админ замёрзнуть поделиться коммент фильм который согреться вечером чаёк,9
59,,0
60,фронтирный лаборатория группа приглашать талантливый амбициозный исследователь сотрудничество прекрасный шанс попробовать новый научный область область руководство ведущий учёный итмый аспирант бакалавр магистрант постдок выбирать свой вакансия сайт заполнять заявка проходить собеседование забыть подписаться тг канал работа итмый скоро вакансия проект возможность работа,42
61,открывать бизнес делиться идея комментарий тренинг предпринимательский компетенция октябрь вместе светлана скакун антонина фёдоров инна топоров обсудить тема креативность бизнес генерация идея разработка реализация ждать адрес ломоносов ауд церковь регистрация ссылка,31
62,закидывать качественный литература ловить сохранять наш подборка приходить цикл мероприятие узнать менторинг помогать открывать развивать талант польза получать наставник наставлять организация формат наставничество существовать итмый жд м октябрь ломоносов онлайн место некоторый воркшоп ограничить пройти короткий тест который помочь определиться тема пока приглашать познакомиться менторский программа выпускник итмый найти наставник возможность обмен опыт программа регистрация общий чат мероприятие,58
63,практика научный центр близко институт университет итмый открывать конкурс прохождение научный практика студент бакалавриат школьник старший класс впервые школьник средний класс время практика поработать реальный практический проект команда уч ных международный опыт самостоятельно поставить эксперимент высокотехнологичный оборудование расширить портфолио научный деятельность зарекомендовать поступление магистратура улучшить который помочь уч бе будущий научный карьера получить возможность опубликовать статья соавторство уч ный формат научный практика проектный работа выбрать лаборатория длительность неделя месяц зависимость проект узнать подробный проект файл заполнить форма участие ссылка октябрь возникнуть вопрос писать юла наговицин почта тг,87
64,первокурсник первый месяц пара слово туда сюда,7
65,жд м твой заявка научный премия который компания присуждать значимый вклад развитие машинный обучение награда мочь претендовать исследователь наставник преподаватель научный руководитель год премия пройти декабрь вручаться номинация смочь претендовать исследователь наставник страна денежный приз тысяча млн рубль яндекс предоставлять лауреат доступ сервис яндекс выд грант использование платформа помощь выполнять объ мный вычисление обрабатывать дать эксперимент заявка приниматься октябрь ссылка,60
66,ваш однокурсник студент университет итмый подать заявка подписка регистрироваться участие программа нацелить хороший уч бу иметь достижение олимпиада чемпионат хакатон хотеть получать крутой бонус развитие входить подписка ежемесячный стипендия доступ закрытый пул вакансия стажировка возможность участие специальный мероприятие участие образовательный проект дополнительный отбор карьерный консультация мастер класс площадка нетворкинг хороший студент россия мерч подписка музыка программа ориентировать студент бакалавриат специалитет технический специальность успеть подать заявка сентябрь,66
67,х итмый способный текст сентябрь вместе натали бредихин обсудить сила текст принцип который помогать достигнуть цель пример влияние текст наш восприятие решить практический задачка понетворкать встречаться коворкинг итмый кронверкский вход бесплатный обязательно зарегистрироваться,33
68,лайфхак стать профессионал весь внизу олимпиада профессионал сегодня стартовать седьмой сезон всероссийский масштабный соревнование учиться российский вуз олимпиада проводиться десятка различный направление итмый организовать следующий направление программирование информационный технология робототехника информационный кибербезопасность этап проведение олимпиада сентябрь ноябрь регистрация ноябрь декабрь отборочный этап февраль апрель г заключительный этап май г подведение итог олимпиада образовательный мероприятие форум весна медалист получить денежный приз размер тысяча рубль дипломант получить льгота поступление следующий ступень обучение магистратура аспирантура ординатура возможность пройти стажировка ведущий российский компания подробность направление деталь сайт,83
69,голливудский звезда преподавать итмый нейросеть предоставить куча вариант листать писать ваш взгляд интересный весь провести лекция практика плохой весь,19
70,начать самый классный курс понедельник говорить пора начинать площадка итмый онлайн подготовить новый платный бесплатный программа образовательный технология бизнес анализ биотехнология дизайн полезный курс жить жизнь вс обновить сайт удобный каталог выбрать записаться рассказывать материал некоторый курс стартовать неделя откладывать следующий понедельник,42
71,врач интернет технология проникнуть сфера медицина сегодня доступный каждый влиять психотерапия наш ментальный здоровье возможность риск нести цифровизация психотерапия сентябрь вместе психолог маргарита спасский постараться ответить вопрос собираться главный сцена фудмолл вход свободный предварительный регистрация,35
72,пойти сеанс кино таро психотерапия давать объясниться сеанс фестик электронный музыка комьюнити мегабайт медиа пройти сентябрь пространство наш друг диско бар ритм стать место слияние разный жанр хаус юкей геттотех брейкбит самый место нужно отдаться музыка закрыть танец кружочек активность ещё сеанс состояться презентация свежий выпуск журнал посвятить город разный направление интерпретация давать повторимый ещё сентябрь утро диско бар ритм кожевенный линия бесплатно строго регистрация увидеться услышаться сеанс,68
73,го поделиться коммент локация питер сходить пока тепло,8
74,предпринимательский дух найти выбирать карточка посмотреть заряд мотивация регистрироваться тренинг предпринимательский компетенция итмый дизайн мышление антонин фёдоров елена карпов ала ны бондарить ломоносов ауд церковь регистрация бизнес интенсив техпред стартап студия открытый инновация кронверкский пр ауд регистрация,37
75,нибыть говорить помогать наш студент выстраивать индивидуальный образовательный траектория руководитель проект андрей суворов семён шабанин реализовать вместе студент итмый коллаборация сентябрь интервью рассказать удаться довести проект готовый продукт обсудить антон черноусов основной принцип разработка система вуз архитектура решение опыт использование сервис внедрение микросервис решение задача образование особенность интеграция индивидуальный план обучение существующий образовательный процесс вызов стоящий команда университет регистрироваться мероприятие ссылка,61
76,открывать набор приглашать студент интересоваться веб разработка дизайн менеджмент аналитика испытать свой сила вступить команда каждый смочь проявить близкий гигантский количество опыт знание прилагаться участник смочь поработать создание запуск продукт мировой рынок клуб веб разработка дизайн маркетинг немой стать часть команда который учиться создавать полноценный продукт мировой рынок вступление оставлять заявка,51
77,описать итмый знать,3
78,зарегистрироваться день физика го сюда физикадлявсех рф,7
79,,0
80,хороший программист итмый день программист ещё повод напомнить прошлый год студент итмый получить золото оставаться самый титуловать участник крупный соревнование мир программирование аспирант итмый обойти команда весь мир взять золото конкурс специалист машинный обучение школьник руководство доцент факультет информационный технология программирование итмый андрей станкевич год выиграть сразу золото международный олимпиада информатика гордиться далёкий большой,54
81,хотеть связать свой жизнь физика приходить день физика итмый приглашать студент курс школьник педагог масштабный мероприятие рассказать перспектива инженерный профессия карьера учитель сделать урок физика интересный физический диктант инженерный игра приз научно популярный лекция блогер известный уч ных курс повышение квалификация подарок учитель сентябрь адрес ул ломоносов далее регистрироваться сайт физикадлявсех рф,52
82,слышать подписка платить рассказывать подписка стипендиальный программа талантливый студент российский вуз крутой результат достижение учёба стипендия бонус обучаться бакалавриат специалитет технический специальность иметь достижение олимпиада чемпионат хакатон жд стипендия доступ закрытый пул вакансия добавление база талант компания карьерный консультация бонус подавать заявка сентябрь упустить шанс,45
83,мир странный несочетаемый размышлять тема необычный очень крепкий союз карусель,10
84,мем неделя комментарий,3
85,сентябрь время чувствоваться проблеск первый прохлада город начинать сиять красный жёлтый краска первый месяц осень студент сотрудник итмый провести незабываемый велопрогулка компания свой ректор сентябрь вход приморский парк победа ст м крестовский остров взять велосипед рядом велопрокат приморский парка победа расположить недалеко вход парк стоимость аренда руб час бесстанционный велопрокат расположить весь город близкий находиться рядом метро крестовский остро аренда час обойтись руб взять велосипед рядом ещ участвовать конкурс получить велосипед аренда время велопрогулка условие конкурс помнить название стиль жизнь событие,81
86,успешный успех классно действительно стоить прочитать предпринимательство эксперт наш ежегодный тренинг предпринимательский компетенция инна топоров делиться качественный литература который помочь сделать первый шаг создание свой проект приключение сойер марк твен главный герой точно знать нужно управлять человек добиваться поставить цель предлагать весь вспомнить повесть детство взглянуть сторона технологический предпринимательство этап реализация проект пилюгин шибаев пособие основать вопрос возникать предприниматель различный этап создание реализация технологический предпринимательский проект база дизайн мышление бизнес разработка новый продукт проектирование бизнес модель тим браун глава самый успешный дизайн компания мир делиться свой концепция дизайн мышление многочисленный пример доказывать эффективность прокачать свой скилла практика интересный игровой формат приходить тренинг инна топоров дарья хельштейн мария степанов первый шаг стартап сентябрь ул ломоносов ауд регистрация шестаков евгений булаткин анастасия ким константин стартап сентябрь ул ломоносов ауд регистрация,128
87,разгадывать главный загадка современный физика вместе нобелевский лауреат речь тёмный материя новый работа учёный итмый фронтирный лаборатория исследование фундаментальный физика помощь топологический метаматериал недавно исследователь описать метаматериал который мочь стать платформа тестирование свойство аксион кандидат роль частица тёмный материя работа выполнить соавторство нобелевский лауреат физика фрэнк вильчек внести значительный вклад исследование частица дать название работа результат мочь помочь приблизиться разгадка тайна вселенная читать статья наукавитмый,65
