,text_tokens,text_length
15,,0
16,приглашать учиться класс принять участие открытый олимпиада школьник профиль олимпиада перечень рсош информатика уровень математик уровень физика уровень ноябрь декабрь онлайн разбор прошлогодний задача информатика класс математика класс подробный ссылка декабрь первый тур олимпиада информатика математика декабрь первый тур физика участие тур достаточно зарегистрировать аккаунт сайт ранее ещ создать полный информация участие олимпиада смотреть сайт победитель призёр заключительный этап мочь поступить вступительный испытание большинство программа перечень,66
17,привет будущий бакалавр приглашать день открытый дверь факультет пиикт который пройти совместно компания тинькофф смочь поучаствовать активность который познакомиться факультет компания выиграть памятный мерч фестиваль послушать лекция представитель тинькофф первый узнать подробность предстоящий хакатон провести день университет пообщаться студент узнать насыщенный студенческий жизнь задать интересовать вопрос учёба поступление университет декабрь университет итмый кронверкский проспект ссылка регистрация подписываться пропустить большой новость встреча итмый,62
18,день открытый дверь ноц фотоник оптоинформатика сколько балл нужно поступление сказать стипендия вообще заниматься партн ры смочь работать вопрос бывать представитель центр готовый ответить рассказать большой поэтому приглашать день открытый дверь программа бакалавриат фотоник оптоинформатика программа выступление директор ноц фотоник оптоинформатика антон николаевич цыпкина рассказ лаборатория трудоустройство ответ ваш вопрос экскурсия лаборатория записывать запоминать ноябрь среда кадетский линия корпус попасть заполнять форма ожидать письмо почта увидеться,66
19,уникальный возможность пробраться лаборатория итмый декабрь вместе смочь рамка погрузиться знакомство инновационный разработка услышать лекция глобальный проблема вызов тематика зел ная химия энергетика ресурсосберегающий технология ещё вс время практический часть воркшоп возможность принять участие постановка эксперимент руководство куратор пообщаться уч ный передовой инженерный школа итмый научный центр учиться класс готовый погрузиться мир заполнять заявка участие дедлайн подача заявка ноябрь включительно ссылка регистрация,62
20,день открытый дверь мегафакультет компьютерный технология управление представить образовательный программа факультет система управление робототехника факультет программный инженерия компьютерный техника факультет безопасность информационный технология центр химический инженерия ещё смочь увидеть робот собака изучить образец нефть окунуться мир виртуальный реальность программа мероприятие работа стойка факультет интерактивный площадка презентация образовательный программа ответ вопрос абитуриент дата ноябрь место ул ломоносов м регистрация мероприятие пройти регистрация необходимо каждый участник встреча итмый,66
21,новый физтех запускать масштабный олимпиадный марафон учиться класс получать решать задача различный уровень сложность каждый неделя знакомиться обсуждать задание участник отдельный чат получать обратный связь команда проект уч ных преподаватель студент победитель приз ров олимпиада каждый месяц победитель общий зач получать приз новый физтех итмый регистрация открыть,47
22,центр химический инженерия университет итмый запускать интенсивный школа химия почему стоить записаться подготовка егэ химия неделя погружение наука общение молодой учёный практический работа лаборатория центр сертификат прохождение школа проходить ноябрь адрес пер гривцов начало занятие продолжительность минута регистрация регистрация закрыться ноябрь упустить свой шанс встреча,45
23,приглашать группа подготовка егэ бесплатный курс льготный категория гражданин предмет биология физика математик русский язык запись группа необходимо подать заявка эл адрес пройти вступительный тест предмет предоставить необходимый документ ноябрь подробный категория гражданин число указанный часть статья федеральный закон декабрь год фз образование российский федерация ссылка подробный информация прохождение тестирование подача документ узнать группа курс школьник итмый,57
24,день открытый дверь мегафакультет наука жизнь представить образовательный программа факультет биотехнология факультет экотехнология научно образовательный центр инфохимия программа мероприятие этаж знакомство факультет интерактивный зона ауд выступление декан подробный презентация программа экскурсия лаборатория дата ноябрь место ул ломоносов м регистрация мероприятие завершить встреча итмый,43
25,,0
26,зарегистрироваться день открытый дверь наука жизнь,6
27,день открытый дверь поступать бакалавриат выходной ноябрь приходить итмый познакомиться направление образовательный программа университет программа мероприятие интерактивный зона факультет выступление ответственный секретарь университет итмый знакомство образовательный программа ноябрь ул ломоносов м регистрация регистрация мероприятие почта прийти письмо код проход университет встреча итмый,42
28,ноябрь новый физтех университет итмый стать площадка открытый лабораторный научно просветительский акция проверка научный грамотность ждать весь желать ноябрь перевоплотиться лаборант проверить свой научный картина мир руководить помогать участник лабораторный дмитрий глазов кандидат физико математический наука ведущий научный сотрудник физический факультет итмый лабораторный ждать увлекательный научно популярный лекция мный материя космос лаборатория,52
29,хотеть получить преимущество поступление итмый участвовать межрегиональный олимпиада верченко математика криптография упустить шанс стать хороший хороший поступить вуз мечта участие приглашаться школьник класс межрегиональный олимпиада школьник имя верченко профиль математик уровень рсош этап отборочный этап ноябрь год дистанционно заключительный этап ноябрь база факультет безопасность информационный технология университет итмый задание прошлый год регистрироваться ссылка,53
30,смотреть вначале осень пройти день открытый дверь формат фестиваль итмофест следующий выходной снова встретиться университет познакомить итмый образовательный программа бакалавриат возможность который студент время обучение программа день открытый дверь интерактивный зона факультет выступление ответственный секретарь университет итмый знакомство образовательный программа ноябрь ул ломоносов м регистрация регистрация мероприятие почта прийти письмо код проход университет встреча итмый,55
31,осенний интенсив факультет технологический менеджмент инновация итмый ученик класс хотеть понимать высокий технология управлять изменение слово пугать мочь ещё неизвестный присоединяться интенсив ноябрь ул чайковский осенний интенсив фтмить итмый смочь познакомиться руководитель образовательный программа бакалавриат команда факультет посетить воркшоп программа технология инновация бизнес информатика решить практический задание рамка реальный бизнес задача посетить мастер класс публичный выступление хороший преподаватель итмый предприниматель даниил тян пообщаться студент фтмить итмый лидер осенний интенсив фтмить итмый получить фирменный мерч факультет научный менторство образовательный программа бакалавриат фтмить итмый подготовка участие конгресс молодой учёный который получить дополнительный балл поступление балл мероприятие предусмотреть обед кофе брейк регистрация,99
32,новый сезон открытый олимпиада школьник физика участвовать олимпиада входить перечень рсош уровень возможность поступление бви мочь принять участие школьник класс класс конкурс старт тренировочный сессия октябрь цель тренировочный сессия познакомить участник тип задача дать возможность освоить система подробный подготовиться посмотреть разбор олимпиадный задача который специально подготовить студент новый физтех итмый подписываться тг канал олимпиада пропустить важный обзор дата,58
33,продолжаться регистрация новый сезон национальный технологический олимпиада школьник участие олимпиада нужно зарегистрироваться платформа нто ссылка регистрация школьник класс ноябрь мск университет итмый организовать профиль олимпиада больший дать машинный обучение интеллектуальный робототехнический система программный инженерия финансовый технология инфохимия этап пройти ноябрь предварительный результат этап опубликовать ноябрь итоговый ноябрь этап командообразование начн тся ноябрь решение задача этап необходимо приступить ноябрь ждать твой команда,61
34,завтра пройти день открытый лаборатория университет итмый приходить адрес ул ломоносов далее м начало свой экскурсия путать время начало мероприятие познакомиться лаборатория который наш учёный студент проводить свой исследование участие пройти регистрация сервис получить билет встреча итмый,37
35,дайджест близкий курс школьник итмый который присоединиться первый занятие графический дизайн класс олимпиадный физика класс математик егэ класс олимпиадный физика класс посетить первый занятие пробный подойти формат уровень группа смочь продолжить занятие адрес очный группа ул ломоносов группа математика онлайн формат,41
36,бывший абитуриент бывать новость заканчивать закончить бакалавриат знать ждать новый сезон студенческий олимпиада профессионал всероссийский олимпиада студент профессионал масштабный соревнование учиться российский вуз олимпиада университет итмый организовать направление программирование информационный технология робототехника информационный кибербезопасность принимать участие участник получить возможность карьерный консультация медалист получить денежный приз размер тысяча рубль дипломант получить льгота поступление следующий ступень обучение магистратура аспирантура ординатура возможность пройти стажировка ведущий российский компания подробность направление деталь сайт,68
37,хотеть увидеть устроить научный лаборатория приходить день открытый лаборатория узнать познакомиться направление робототехника фотоник радиофизика биотехнология экология инфохимия сотрудник лаборатория научный центр показать наука действие регистрация количество место ограничить участие регистрация поэтому переходить ссылка выше регистрироваться место проведение итмый ул ломоносов спб начало экскурсия октябрь продолжительность экскурсия минута уникальный возможность увидеть попробовать научный жизнь университет,55
38,мочь успеть записаться программа,4
39,писать свой слово поступать итмый открыть регистрация четвёртый всероссийский чемпионат сочинение свой слово возможность заработать дополнительный балл бонус поступление площадка найти свой стиль сфера интерес который определить будущий профессия увлечение регистрация открыть октябрь ссылка участник мочь стать желать пройти финал заработать преимущество поступление школьник класс студент спо область искусство успешно прошедшее отбор,52
40,поступить итмый высокий балл егэ вдобавок получить стипендия тысяча рубль ответ участвовать занимать место олимпиада помочь подготовка увеличить шанс победа всеросийский олимпиада школьник экология совместно академия талант центр олимпиада санкт петербург провести субботний интенсив экология база факультет экотехнология итмый школьник класс октябрь ноябрь суббота занятие узнать грамотно организовать научный исследование создать собственный экологический проект научиться самостоятельно определять цель формулировать задача оформлять результат научный исследование презентовать отч защищать научный проект регистрация октябрь нужно заполнить свой дать описать проект написать мотивационный письмо скоро объявить расписание поэтому оставаться связь встреча итмый,88
41,расписание мероприятие абитуриент итмый запоминать интересный приходить подключаться онлайн интересный полезный университет студент преподаватель встреча итмый,16
42,конкурс пройти практика возвращаться институт университет итмый открывать конкурс прохождение научный практика школьник старший класс впервые школьник средний класс хотеть работать практический проект самостоятельно ставить эксперимент передовой оборудование сотрудничать уч ный мировой уровень твой шанс формат научный практика проектный работа выбрать лаборатория длительность неделя месяц зависимость проект время практика поработать реальный практический проект команда уч ных международный опыт смочь самостоятельно ставить эксперимент высокотехнологичный оборудование расширить портфолио научный деятельность зарекомендовать поступление магистратура улучшить который помочь уч бе будущий научный карьера практика возможность опубликовать статья соавторство уч ный присоединиться научный коллектив продолжение работа проект участие конкурс научный практика заполнить гугл форма ссылка дедлайн заполнение форма октябрь некоторый пример проект который выбрать проект область электрохимия гибкий нательный электроника дизайн наноматериал разработка бизнес процесс биологический проект разработка днк машина подробный проект познакомиться пдф файл прикрепл нном пост найда шь информация суть проект мочь проходить практика отдельный лаборатория длительность важный деталь вопрос писать юла наговицин почта тг,152
43,всероссийский олимпиада искусственный интеллект участвовать мочь ученик школа класс открытый тренировочный этап задача прошлый год онлайн занятие подготовка каждый этап достаточно базовый навык программирование возможность выбрать язык программирование решение задача поддержка участник протяжение весь олимпиада успеть зарегистрироваться сентябрь,38
44,будущий студент привет осень университет итмый день превратиться интерактивный образовательный площадка хотеть познакомиться мир наука узнать профессия будущее найти свой путь образование приглашать твой родитель итмофест ждать мастер класс эксперт егэ олимпиада знакомство образовательный программа зона единый образовательный пространство школьник поступление итмый регистрироваться встреча сентябрь итмый,46
45,присоединяться,1
46,заканчивать школа год впереди ещё пара год знать хотеть заниматься математика думать профессия участвовать национальный олимпиада анализ данные ждать реальный база данные крупный компания обучение полезный материал эксперт область анализ данные приз преимущество поступление стажировка тинькофф регистрироваться октябрь,38
47,хотеть сделать физика часть свой жизнь узнать нужный инженер день рождение циолковский сентябрь приглашать всероссийский день физика программа лекция учёный мастер класс студент презентация образовательный программа обсуждение инженерный профессия перспектива карьера участник ждать инженерный конкурс всероссийский физический диктант ценный приз учитель экскурсия учебный лаборатория регистрация бесплатный курс повышение квалификация сентябрь университет итмый санкт петербург улица ломоносов весь информация регистрация физикадлявсех рф,61
48,часть поздравлять весь начало учебный год получение студенческий обладатель платин золотой серебряный бронзовый студенческий билет стипендия мочь получить свой подарок студенческий офис ул ломоносов далее ауд окно пн пт искать список,31
49,слышать подписка платить рассказывать подписка стипендиальный программа талантливый студент российский вуз крутой результат достижение учёба стипендия бонус обучаться бакалавриат технический специальность иметь достижение олимпиада чемпионат хакатон жд стипендия доступ закрытый пул вакансия добавление база талант компания карьерный консультация бонус подавать заявка сентябрь упустить шанс,44
50,финансовый возможность студент совместный программа высокий образование яндекс практикум вебинар рассказать вариант финансовый поддержка студент высокий образование взять образовательный кредит получить стипендия искать ресурс реализация свой проект запустить стартап помощь вуз ещ обсудить инфраструктура университет мочь помочь профессиональный развитие среда сентябрь москва формат онлайн длительность час зарегистрироваться вебинар,48
51,,0
52,день анонс первокурсник подписаться часть готовый врываться учебный год рассказывать круто провести время новоиспечённый студент итмый неделя пройти легендарный праздник каждый смочь обновить свой фотоплёнка наш фотозон перекусить бесплатный попкорн кайфануть концерт студа клуб выступление анна клюква студентка итмый площадь театр балтийский дом александровский парк сентябрь перемещаться сотрясать пол любимый трек клуб аврора финляндский проспа корпус университет проходить станция который смочь познакомиться разный направление возможность итмый кронверкский пр далее ул ломоносов далее ул чайковский далее лита биржевой линия далее пер гривцов далее лита забыть посетить станция питер любовь познакомиться корпус итмый совершить культура контакт санкт петербург ул чайковский далее запись экскурсия станция доступный,103
53,тинькофф приглашать старшеклассник день открытый возможность мероприятие ребята познакомиться классный университет который сотрудничать тинькофф число итмый узнавать возможность учёба стажировка компания ждать ребята класс который увлечь математика программирование подумывать карьера ит август московский офис тинькофф бизнес центр водный онлайн трансляция ютуба регистрация,42
54,скоро присоединиться наш большой команда который называть знать волнительный момент точно куча вопрос поэтому телеграм стартовать марафон канал собрать самый актуальный информация университет присоединяться вместе итмый,26
55,выходить финишный прямой первый итог приёмный кампания бакалавриат главный цифра тысяча столько заявление получить программа бакалавриат тысяча большой прошлый год рекорд приёмка регион поступать ребята весь россия студент учиться бакалавриат бюджетный основа человек поступить результат олимпиада вс ещё шанс поступить итмый конец август продлиться приём документ контрактный форма обучение записывать дата август поступать основание внутренний вступительный испытание август поступать результат егэ увидеться итмый,63
56,отправить думать учиться поступление контракт итмый август образовательный программа бакалавриат получить образовательный кредит платить маленький тысяча рубль месяц обучение читать материал,21
57,день открытый дверь ускоренный онлайн бакалавриат разработчик,7
58,поступить питер далёкий тамбить помочь разобраться первокурсник видео узнать ответ волнующий вопрос найти друг незнакомый город заработать деньга сдать первый сессия стресс специально весь первокурсник петербург собрать совет знать тонкость студенческий жизнь секретный лайфхак наш гость далёкий смотреть видео,39
59,тамбить пельмень общага делать первокурсник сентябрь далёкий узнать завтра,9
60,открыть запись новый учебный год,5
61,хотеть учиться итмый получиться поступить бюджет ещё мочь заключить договор поступить платный обучение поступление контракт необходимо преодолеть минимальный балл каждый предмет математика информатика проверить программа контракт добавить связаться ответственный факультет заключение договор образовательный программа бакалавриат образовательный кредит,37
