,text_tokens,text_length
218,балашов марина группа связаться твой барсетка,6
219,ребята привет семестр л аиг жуков принимать экзамен мочь остаться билет конспект семестр отписаться лайкам комент анон,17
220,нибыть хотеть четвёртый общага одиннадцатый заселиться обмен,7
221,оставить шарф отнести гардероб корпус,5
222,приёмный комиссия обращать внимание судимость анонимность,6
223,весь привет великолепный университет сборная вид фиджитал спорт,8
224,искать м ртвую душа общага м анон,7
225,недалеко пятый корпус найти подорожник,5
226,давать скинуть фотка свой комната коммент посмотреть жить,8
227,анонимно рассказать перевестись вуз очный обучение заочный платный,8
228,весь привет мочь старшекурсник остаться билет матанализ семестр лектор хрящев анон,11
229,весь привет мочь помочь эбцс вознаграждение,6
230,забыть зарядка айфоновский блок синий которкий провод коворкинг,8
231,готовый лаба инж графа первый курс вариант бесплатно,8
232,гардероб корпус,2
233,ребята привет обращаться совет эффективный весь учить английский язык учить важно,11
234,потерять чёрный папка аудитория обычно снимать лаба физика оптика написать видеть,11
235,анон подсказать обстоять дело очный магистратура реклама нужно строго посещать заочко интересовать,12
236,потерять номерок гардероб пятый корпус найда отнести гардероб,8
237,мочь нужный конспект матана осетровый отдать шоколадка писать лс,9
238,насколько тяжело получить зач практика мат анализ стяжко переписывать работа ида целое встреча проблема предмет,15
239,вообще происходить зач леднев вообще ужас анон,7
240,принимать лаба посредник анон,4
241,сдавать сессия мат анализ литвинов подсказать работать система оценивание начало сема говорить оценка складываться экзамен практика получить экзамен практика отправить пересдавать экз анон,23
242,команда лэти большой теннис проводиться набор юноша девушка участие тренировка межвузовский соревнование заниматься ранний заниматься прекрасный вид спорт рада видеть ряд команда вопрос лс анон,25
243,помочь объясняться дрейф пи регулятор создать операционный усилитель отключение воздействие значение выход пи регулятор х должный поддерживаться убывать почему,19
244,анонимно мочь помочь схемца сделать несколько лабораторный комп накрыться сделать никак смочь,12
245,мочь помочь лаба прога инф фкть выбрать лайкам коммент анон,10
246,найти кольцо оставить гардероб корпус,5
247,интересно группа радикальный фёмкий,4
248,оставить мышка корпус этаж найти вернуть,6
249,мочь помочь экономика задача работа час анонимно,7
250,помочь решить идз химия денюжка анон понять лайкам кома,9
251,перевестись разница семестр шанс получить академ отпуск анон,8
252,анон стипендия донатить,3
253,остаться вариант тест доценко аиго семестр анонимно,7
254,друг шарить комп мочь помочь решить проблема вкусняшка лагать игра стим довольно требовательный игра сторонний ресурс идти ультр абсолютно фриз мочь сталкиваться знать делать,24
255,найти ауд первый ряд справа доставить,6
256,выпуститься лэти беларусь пообщаться очень хотеться,6
257,сдавать альтернативный экзамен дискретный математика поздняков задать несколько вопрос анонимно,10
258,социальный стипендия хороший подавать мать одиночка малоимущий анон,8
259,анон учиться кафедра микро наноэлектроника интересовать магистр желательно спивак юлия михаилович ещ заниматься пористый кремний интересно узнать каков учиться,19
260,плохой комьюнити лететь ещё поискать нужно остроумный ребята быстренько комент,10
261,подсказать взять академ причина финансовый благополучие,6
262,рассказать проходить комиссия математический моделирование курс преподавательский состав знать лекция вести колпаков анонимно,13
263,гр забыть тетрадь аудитория искать кафедра физика,7
264,нужный помощь аиг ом ый найти лайкам коммент,8
265,проходить дифф зачёт чирцовый физика расписание алексеев постоянно сидеть лекция экзамен анон,12
266,способ отложить комиссия месяц комиссия декабрь хотеть конец январь анон,10
267,вообще лекция фонмэ марголин,4
268,дорогой коллега старший курсовой,4
269,случайно находить пятый корпус бежевый шапка тип,7
270,отругать девочка зимой юбка кед,5
271,мочь поделиться опыт проходить сессия курс мочь нибыть совет наставление пугать неизвестность анон,13
272,анон старший курс очень просить написать позитивный мотивировать справиться апатия прокрастинация скопиться долг,13
273,влиять оценка зачёт экзаменационный оценка предмет старшекурсник анон,8
274,проводить дифф зачёт фаткиев организация эвм вообще критерий,8
275,первак нормально закрывать лаба кузьмин физика полный ноль задача гуглиться анон,11
276,хотеть перевестись универ город подсказать делать допёс предыдущий сема нужно закрыть закончить семестр перевестись следующий курс предыдущий курс случай нужно сдавать экзамен универ который хотеть перевестись анон,27
277,делать сила закрывать долг новый становиться большой большой,8
278,мочь поделиться опыт проходить сессия курс мочь нибыть совет наставление пугать неизвестность анон,13
279,дорогой первак обращение леднев лабникнуть физика защищать лаба поэтому мягко говорить треш нибыть совет анон,15
280,привет мочь помочь написать мобильный приложение дипломный работа анон,9
281,перевести балл сбер балл экономика организация,6
282,,0
283,найти карта сбербанк лежать пятый корпус гардероб,7
284,весь привет помочь компас инженерный компьютерный графика семестр деньга написать коммент лайкнуть анон,13
285,нибыть опыт,2
286,помочь типовик матана курс,4
287,потерять карта сразу весь лежать парта найти написать,8
288,примерно комиссия экзамен прога син давать тест комиссия сказать дать мочь чисто устно спрашивать тест дать анон,17
289,добрый вечер й курс хотеть поинтересоваться закрывать долг борьба ходить пара занятие шанс закрыть вылететь чёрт анон,17
290,нибыть знать местоположение кепка,4
291,институт место оставить достаточно больший сумка пара автобус домой анонимно,10
292,прийти стипендия вообще бывать задерживать,5
293,перевестись институт сохранение бюджет нибыть опыт анон,7
294,преподаватель встречаться студент студентка понравиться преподаватель веда анон,8
295,приказ положение правило условие уход академ почитать анон,8
296,хотеть спросить ребята упр ковы осуждение образ умудряться терять часы телефон наушник ноутбук замечать,14
297,мочь целевеко брать академ хороший уходить академ отлететь армия сделать сохранить место общежитие,13
298,весь привет искать человек который помочь ооп мобильный разработка андроид каркас приложение некоторый функция цена договориться анонимно,17
299,весь привет работать интерфейс написать лс,6
300,найти проходить практика предложение преподаватель кафедра интересный долго занимать оформление договор центр развитие карьера анон,15
301,искать экспресс репетитор аиг вышмат информация структурировать блок алгоритм решение примечание исключение обязательный объяснение слово найти лайкам анон далее высокий обучаемость,21
302,забыть кепка,2
303,привет весь планировать поступать факультет электроника человек отписаться,8
304,человек добрый корпус потерять лекция аиго мб видеть,8
305,рассказать принимать экзамен препод лс,5
306,добрый день находить картхолдер лежать бск мо имя карта,9
307,потерять серёжка крестик корпус корпус очень дорога найти просить написать,10
308,добрый день оставить белый электронный книга вуз подеположительно написать находить,10
309,весь привет хотеть поступать факультет электроника отписаться,7
310,найти кольцо турникет корпус отдать гардероб,6
311,мочь помочь сделать социальный проект социология анон,7
312,похоже становиться хобби потерять перчатка ом этаж го корпус отн гардероб,11
313,студент отчислять семестр курс фкть анон,6
314,найти очки этаж корпус отнести гардероб корпус,7
315,добрый день оставить белый электронный книга аудитория мочь находить отозваться комментарий,11
316,браться академ нужно анон,4
317,господин оставить шаль аудитория отнести гардероб корпус,7
318,сдать экзамен прогул анон,4
319,потеряшка отнести гардероб корпус,4
320,весь привет искать мёртвый душа общежитие найти лайкам,8
321,потерять телефон туалет передать вахта,5
322,помочь сделать остаться лаба диаграмма архис бесплатно анон,8
323,мочь помочь задача бжд практика курс фкть анон,8
324,анон вторник аудитория оставить шарф обращаться гардероб корпус,8
325,видос канал ютуба разобраться тоэ,5
