,text_tokens,text_length
0,день открытый дверь лэти весна казаться пора планировать поездка лэти расписание день открытый дверь университет факультет разместить виджет день открытый дверь верх мероприятие познакомить весь факультет разработка рассказать помочь поступление спбгэта лэти провести увлекательный кейс игра ответить животрепещущий вопрос вместе экскурсия посмотреть основной учебный корпус прогуляться территория университет участие требоваться обязательный регистрация ждать лэти,54
6,день открытый дверь факультет электротехника автоматика факультет осуществлять подготовка направление управление технический система автоматика робототехнический система электроэнергетика электротехника мехатроника робототехника день открытый дверь фэа смочь узнать направление подготовка образовательный программа разобраться правило особенность приём год задать интересовать вопрос представитель факультет комиссия дата декабрь адрес спбгэта лэти ул профессор попов далее успеть зарегистрироваться встреча день открытый дверь фэа,57
7,спбгэта лэти принять участие международный научно образовательный салон квц экспофорум ноябрь спбгэта лэти принять участие крупный конгрессный мероприятие демонстрировать образовательный исследовательский инновационный деятельность учебный организация город лекция мастер класс весь участник возможность пообщаться приёмный комиссия университет задать интересовать вопрос выставка пройти ноябрь последний день адрес санкт петербург петербургский широта квц экспофорум ноябрь приёмный комиссия лэти презентационный зона квц экспофорум пройти презентация топ ошибка который совершать абитуриент поступление вуз интерактивный зона квц экспофорум пройти мастер класс спбгэта лэти путь инженерный знание принятие управленческий решение подробный мероприятие,85
8,день открытый дверь факультет компьютерный технология информатика факультет осуществлять подготовка направление прикладной математик информатика информатика вычислительный техника искусственный интеллект информатика вычислительный техника компьютерный моделирование проектирование информационный система технология программный инженерия компьютерный безопасность системный анализ управление управление технический система компьютерный интеллектуальный технология управление технический система день открытый дверь фкть смочь узнать направление подготовка образовательный программа разобраться правило особенность приём г задать интересовать вопрос представитель факультет комиссия поучаствовать мастер классс раскрывать практический аспект обучение направление обучение реализовать дать кафедра дата декабрь адрес спбгэта лэти ул профессор попов далее успеть зарегистрироваться встреча день открытый дверь фкть,93
9,ответ вопрос поступление год интересненький пропустить очный онлайн день открытый дверь расстраиваться запись прямой эфир который смочь найти ответ волнующий вопрос год ещё возможность заглянуть гость регистрироваться день открытый дверь факультет лэти ссылка новый встреча лэти,36
10,готовиться егэ вместе лэти объявлять открытие новый подготовительный курс обществознание английский язык подготовка егэ обществознание интенсивный курс хотеть курс изменение программа егэ обучение проходить очный режим территория университет подробный подготовка егэ английский язык подготовка экзамен вместе преподаватель эксперт егэ помочь эффективно проработать основной тема экзамен успешно сдать особенно актуально учитывать ряд значительный изменение задание формат егэ программа подготовка предусмотреть разбор типовой пример вариант егэ последний год указание основный источник ошибка предлагаться набор обновить задание разъяснение методика оценивание подробный основный информация курс длительность акад час начало регистрация начало занятие мера комплектование группа окончание занятие стоимость руб остаться вопрос обращаться следующий контакт адрес санкт петербург ул профессор попов дом корпус далее пом телефон почта курс онлайн очный,115
11,день открытый дверь факультет электроника факультет электроника возможность получить фундаментальный инженерный образование область электроника ведущий университет санкт петербург россия институт осуществлять подготовка следующий направление электроника наноэлектроника нанотехнология микросистемный техника день открытый дверь фэл ждать выступление представитель кафедра факультет направление свой работа экскурсия научно исследовательский лаборатория факультет ответ интересовать вопрос поступление учебный внеучебный жизнь факультет дата ноябрь адрес спбгэта лэти ул профессор попов далее успеть зарегистрироваться встреча день открытый дверь фэл,70
12,день открытый дверь институт инновационный проектирование технологический предпринимательство институт осуществлять подготовка следующий направление инноватик управление качество менеджмент день открытый дверь инпротех смочь узнать вс поступление лэти пообщаться представитель руководство институт инновационный проектирование технологический предпринимательство задать любой вопрос представитель комиссия разобрать вместе представитель институт следующий вопрос новый реальность высокий образование тренд прогноз кросс функциональность обучение почему важно дата ноябрь адрес спбгэта лэти ул профессор попов далее успеть зарегистрироваться встреча день открытый дверь инпротех,72
13,день открытый дверь факультет радиотехник телекоммуникация факультет радиотехник телекоммуникация старый радиотехнический факультет россия который продолжать развивать научный традиция создатель отечественный школа радиотехник изобретатель радио профессор попов факультет осуществлять подготовка следующий направление радиотехник система компьютерный зрение радиотехник интеллектуальный радиотехнический система инфокоммуникационный технология система связь конструирование технология электронный средство радиоэлектронный система комплекс день открытый дверь фрт смочь узнать вс поступление лэти пообщаться представитель руководство факультет радиотехник телекоммуникация задать любой вопрос представитель комиссия присоединиться экскурсия кафедра учебный лаборатория факультет дата ноябрь адрес спбгэта лэти ул профессор попов далее успеть зарегистрироваться встреча день открытый дверь фрт,92
14,день открытый дверь гуманитарный факультет факультет осуществлять подготовка направление реклама связь общественность лингвистика день открытый дверь гф мочь узнать направление подготовка факультет пообщаться декан факультет ответственный секретарь отборочный комиссия задать вопрос поступление год дата ноябрь адрес спбгэта лэти ул профессор попов далее успеть зарегистрироваться встреча день открытый дверь гф,49
15,день открытый дверь спбгэта лэти онлайн формат последний шанс зарегистрироваться узнать обучение лэти преимущество особенность приём год выходить дом дата ноябрь год программа выступление ответственный секретарь приёмный комиссия особенность обучение лэти преимущество особенность приём год общение факультет абитуриент иметь возможность задать интересовать вопрос время онлайн трансляция выходить дом ссылка регистрация дистанционный день открытый дверь весь вопрос обращаться следующий контакт писать сообщение группа,62
