,id_поста,text_tokens,text_length,preprocessed_comments
0,17096,объявление хотеть поступить лэти ещё учиться школа важный шаг поступление университет являться успешный сдача экзамен открывать набор подготовительный курс егэ информация найти наш группа раздел услуга наш сайт наш курс помогать сдать егэ подготовиться обучение наш университет преимущество наш подготовительный курс год студент обучаться подготовительный курс сдать первый сессия отлично получить компенсация стоимость обучение курс занятие вести действовать университетский преподаватель эксперт егэ курс проходить формат очный дистанционный бонус оплата сентябрь действовать скидка обучение успеть записаться ждать лэти,77,[]
1,17367,информация стать студент присоединяться сентябрь стартовать второй сезон акселерационный программа стартап участие программа давать возможность получить удостоверение прохождение программа переподготовка основа проектный деятельность заполнить заявка проект студенческий стартап победитель который получать млн руб проект который занять первый место итог финальный защита получить приз подарок компания партнёр выпускник акселерационный программа стартап г получить млн рубль реализация свой идея приглашать участие команда студент весь курс х человек идея проект программа длиться месяц сентябрь г декабрь г дистанционный формат каждый команда закрепляться профессиональный трекер число сертифицированный специалист нти который помочь вывести проект новый уровень программа реализоваться поддержка федеральный проект платформа университетский технологический предпринимательство регистрация открыть сайт список участник команда направить сентябрь руководитель программа александр прошкин расписание занятие регистрация подробный информация доступный сайт стартаплэти рф,121,"[('любить стартап появляться новый классный идея реализация', 7)]"
2,17362,успеть получить скидка обучение подготовительный курс лэти важный шаг поступление университет являться успешный сдача экзамен продолжаться набор подготовительный курс егэ информация найти наш группа раздел услуга наш сайт наш курс помогать сдать егэ подготовиться обучение наш университет преимущество наш подготовительный курс год студент обучаться подготовительный курс сдать первый сессия отлично получить компенсация стоимость обучение курс занятие вести действовать университетский преподаватель эксперт егэ курс проходить формат очный дистанционный бонус оплата сентябрь действовать скидка обучение успеть записаться контакт ждать лэти,78,"[('добрый вечер подсказать подготовительный курс поступление колледж поступление внутренний экзамен', 10)]"
3,17360,петрозаводск крупный город карелия наиболее живописный самобытный регион россия находиться сотрудник приёмный комиссия лэти передавать привет город писать комментарий скоро приехать гость,22,"[('псков', 1)]"
4,17356,мный кампания год позади тысяча новоиспечённый первокурсник начать обучение лэти приёмный комиссия новый сила открывать сезон профориентационный деятельность впереди ждать день открытый дверь профориентационный практика школьник научный конференция квест розыгрыш встреча школьник город наш необъятный страна пропустить событие подписываться рассылка сегодняшний день запускать рубрика рассказывать поездка город наш страна показать работа приёмный комиссия изнутри давать совет поступление полезный информация идея ещё хотеть видеть дать рубрика писать комментарий сегодня сотрудник приёмный комиссия кирилл хорёвый прибыть пункт назначение рассказывать школьник лэти угадать город который находиться факт город стоить онежский озеро редко город называть порт море система река канал город иметь выход балтийский белый баренцев каспийский ч рной море регион привозить ряпушка рыба лосятина оленина морошка северный ягода,115,"[('петрозаводск карелия', 2)]"
5,17354,,0,[]
6,17351,скоро официально стать студент первый электротехнический ждать торжественный посвящение стена университет ждать выступление творческий коллектив интерактивный площадка фотозон вручение студенческий билет сентябрь г сколько торжественный церемония посвящение студент информационно просветительский акция ярмарка возможность ул профессор попов далее двор корпус скорый встреча лэтишникнуть подробный информация сайт,45,[]
7,17348,вопрос интересовать многий стипендия получить стипендия вид материальный поддержка студент бюджетный форма обучение первокурсник получать базовый стипендия течение первый семестр далее стипендия меняться зависимость результат сессия студент получить удовлетворительно получать стипендия студент успевать р студент успевать отлично р студент успевать отлично р студент который показать высокий результат наука творчество спорт мочь претендовать повышенный академический стипендия студент иметь достижение учебный научно исследовательский общественный культурно творческий спортивный деятельность повышенный государственный академический стипендия р сумма выплата устанавливаться приказ ректор каждый новый семестр стипендия приходить каждый месяц число кампусновать карта университет подробный информация найти сайт,91,[]
8,17345,важный информация весь иностранный поступить сайт появиться список поселение общежитие международный студенческий офис подготовить инструкция подробный инструкция краткий инструкция дата поселение ехать общежитие день направляться университет постановка миграционный уч идти ул профессор попов большой кирпичный здание помещение сотрудник международный студенческий офис осуществлять приём прибыть иностранный обучаться адрес оформлять медицинский страховой полис подавать документ постановка миграционный учёт получать разрешение оформление пропуск университет время работа аудитория понедельник пятница ещё дублировать контакт вопрос связанный прибытие университет миграционный сопровождение международный студенческий офис расселение обучаться общежитие университет управление воспитательный социальный работа,86,[]
9,17344,знакомство лэти подводить итог место лэти понравиться большой весь локация холл го корпус активно ставить реакция видео успеть насладиться вид лэти данный пост собрать серия весь ролик локация лэти приятный просмотр знакомство лэти лэти,34,[]
