,id_поста,text_tokens,text_length,preprocessed_comments
0,38215,краткий история обучение направление механика математический моделирование год год,9,"[('хороший', 1), ('шедевр', 1), ('', 0)]"
1,38338,,0,[]
2,38331,срочно требоваться специалист опыт весь научить жить образование деньга неважно подойда работать офис декрет подойти пожелание нужно понимать раздавать деньга направо налево действительно платить среднее руб статистика настоящий работа жд м ответственный нужно морально готовый деньга получать первый зарплата крыша сносить увольняться слепо верить реклама нужно начать подработка бросать вс трезвый подход безболезненно войти начать зарабатывать нужный компьютер ноутбук старый пара час день умение программировать необязательно работать зарабатывать рассчитывать вс удалой нный работа стабильный доход потолок возможность расти деньга каждый пара месяц работать нужно делать вариант компания хватать специалист многий область графический дизайнер аналитик данные инженер тестирование разработчик разработчик веб разработчик новичок сразу курс отрывать рука нога нужный особый знание талант природный дар честно справляться любой желать необучаемый вообще хотеть делать понять профессия подходить записаться бесплатный марафон ссылка разобрать профессия который требоваться крупный компания каждый рассказать профессионал день профессия каждый попробовать пощупать решить большой весь нравиться возьма м рубль количество бесплатный место ограничить остаться весь проверить смочь войти переходить ссылка оставлять заявка участие жд м марафон,166,[]
3,38326,,0,"[('обмануть поугарать', 2)]"
4,38325,искать подработка который позволить зарабатывать деньга помешать наслаждаться лето точно стоить заглянуть мочь найти подходящий работа свой город удалённый удобный вакансия полный рабочий день несколько час неделя выбирать душа начинать зарабатывать сегодня,32,[]
5,38316,,0,[]
6,38312,,0,[]
7,38307,,0,"[('вид окно физтех', 3), ('хороший период жизнь', 3), ('сраный', 1)]"
8,38304,привет политехник связь уход западный бренд устать ходить смотреть спортмастер белые форс стрит бит вещь собственный бренд понимать насколько ужасно предлагать отличный решение наш комьюнити мочь заказать любой вещь любой бренд который понравиться слово строго оригинал промокод политех скидка комиссия наш ассортимент пополняться каждый неделя новый интересный позиция промокод политех скидка вс наличие слово проходить конкурс который мочь принять участие приз первый место худить размер выбор второе место футболка размер выбор третий место наличие место заказ комиссия курс комиссия доставка кг оптовый заказ х позиция выше индивидуальный условие,88,[]
9,38301,,0,"[('лететь допёс делать бочка', 4), ('лететь комс сделать солдатик', 4)]"
