,text_tokens,text_length
86,шанс встретить свой генетический близнец регистр донор костный мозг каждый совпадение стоять реальный жизнь реципиент столкнуться болезнь донор согласиться пожертвовать свой стволовой клетка подарить шанс выздоровление совершенно незнакомый человек правило трансплантация клетка донор реципиент мочь встретиться год момент общаться письмо попасть переписка донор реципиент который встретиться скоро декабрь ник технополис политех приходить вступать регистр регистрироваться ссылка приходить акция декабрь пить чистить зуб минимум час акция взять паспорт заполнить анкета сдать мазка полость рот,73
87,наука мочь вкусный полезный уч ные высокий школа биотехнология пищевой производство ибсиб разработать рецепт полезный здоровье бисквитный полуфабрикат добавление мука зел ной гречка чечевица получиться рецепт самый вкусный полезный наукаполитехпетр,30
88,разыскивать дед морозов снегурочка политех предновогодний время праздник подарок возможность сделать добрый дело приглашать присоединиться акция коробка храбрость порадовать маленький пациент клиника детский хирургия минздрав россия декабрь коробка храбрость ждать корпус проф кабинет управление персонал кабинет главное здание ник технополис политех кафе зимний сад кабинет башня политех студклуб политех небольшой пластиковый игрушка машинка кукла животное простой конструктор наклейка антистресс развивать игрушка творческий игровой набор игрушка должный новый деревянный мягкий биться острый игрушка множество мелкий деталь заколка детский косметика подарить новогодний чудо храбрый ребята политехпетра политехпетраспецпроект,85
89,новый победа общественный институт адаптер образовательный проект ои межинст число победитель всероссийский конкурс молодой жный проект росмолодой жь грант политехник получить финансовый поддержка проект размер рубль несколько год межинст являться площадка развитие будущий адаптер получить средство рамка проект реализовать целый цифровой платформа прокачаться который смочь студент поздравлять руководитель проект александр лазуткин весь ои победа желать успех реализация росмолодой жь росмолодой жьгрант,61
90,политех пулково аэропорт открыться выставка летие вуз весь этап развитие страна политехнический университет вносить весомый вклад важный направление экономика наука техника культура друг смочь узнать выставка приезжать читать вдохновляться присылать ваш фотография пулково выставка расположить зона воздушный внутренний линия зона досмотр продолжить свой работа конец декабрь второй выставка приурочить юбилей вуз первый открыться октябрь площадка планетарий подробный политехпетра,58
91,последний день осень верить включать новый выпуск новость подводить итог ноябрь вместе проректор международный деятельность дмитрий арсеньев политехпетраспецпроект пи новость,20
92,онлайн курс пройти встретить свой любовь рассказать новый выпуск наукалюбить виктория савельев выпускница бакалавр иси год иван савельев выпускник специалист иси год виктория иван познакомиться форсайт политех выбрать курс логика теория аргументация программа сложный поэтому ребята протянуть друг друг рука помощь чат поток начать общаться ребята вещь который связывать пара университет учиться разный группа иметь противоположный увлечение сблизить поездка поварово сборная политех алтимат ехать машина санкт петербург москва обратно жить дом весело выступить иван пригласить виктория покататься ночью велосипед проехать км развод мост остановиться ваня достать коробка заветный кольцо задать самый вопрос виктория иван активный путешественник вместе посетить город ещ ребята любить смотреть фильм сериал вести подсча трехзначный число семья савельев считаться предательство почистить зуб сон одиночка вечерний ритуал делать вместе,121
93,завершиться первый сезон проект траектория адаптация момент написание грантовый заявка заветный новость победа первый мероприятие последний встреча участник прош л год выдаться насыщенный общественный институт адаптер принимать активный участие проект делегация адаптер политех побывать каждый провести мероприятие время проект участник познакомиться проект наставничество весь санкт петербург поделиться накопить опыт знание изучить тенденция наставничество обзавестись свежий идея недавно состояться заключительный встреча участник проект который подвести итог траектория адаптация официально закрытый сезон жд м встреча год,74
94,политехник встретиться легенда ноябрь пройти четв ртая встреча дискуссионный клуб слово вопрос политехник отвечать легендарный советский российский спортсмен вячеслав фетисов получить мантия диплом поч тный доктор спбп вячеслав фетисов рассказать сво м детство родитель приша л цска строить игровой карьера тренер великолепный пята рке самый желанный трофей запоминаться матч студент спрашивать вячеслав александрович политический общественный деятельность работа председатель всероссийский общество охрана природа развитие студенческий спорт искать фотография читать встреча подробный оставлять обратный связь политехпетра политехпетра,75
95,ожидать сегодня самый время сделать разминка рисунок справа должный место ячейка вопрос жд м ваш правильный ответ политехпетразагадка,18
96,молодой жный хор полигимния приглашать свой праздник ноябрь свой й день рождение полигимния дать большой концерт студклуб политех очень ярко искренний поговорить любовь счастие печаль специальный гость камерный хор полиградус эстрадный симфонический оркестр политех управление дмитрий мисюра ноябрь студклуб политех улица парголовский ворв мся зима музыка политехпетрарекомендовать,47
97,маленький неделя политех произойда уникальный событие год пересадка костный мозг встретиться донор костный мозг реципиент который спасти жизнь хотеть стать часть приходить холл ник технополис политех декабрь долгожданный встреча желать смочь вступить регистр донор костный мозг далее л ь проверить соответствовать главный требование возраст год вес кг отсутствие серьёзный заболевание гражданство рф вид жительство зарегистрироваться акция декабрь приходить холл ник технополис политех взять паспорт пить чистить зуб минимум час акция заполнить анкета сдать мазка полость рот,76
98,политехник студент год ноябрь назвать имя хороший студент уходить год версия правительство санкт петербург виолетта победитель номинация хороший организация деятельность добровольческий волонтёрский движение мария сверчкова победитель номинация хороший студент петербург организация деятельность студенческий трудовой отряд дмитрий аграновский лауреат номинация хороший организатор работа студенческий группа марина гаврилов лауреат номинация хороший пропагандист организатор сфера здоровый образ жизнь константин машьян лауреат номинация хороший организатор студенческий самоуправление образовательный организация высокий образование поздравлять ребята политех гордиться,71
99,заявка субъект россия страна ровно столько поступить всероссийский конкурс созидательный творчество международный участие пульс поколение продобро который прош л политех добро центр гармония приурочить конкурс грядущий летие вуз победитель конкурс екатерина кондауров виолетта раков валерий карелин номинация стихипродобро лилия шигапов дарья киндулкин анастасия логинов номинация иллюстрациипродобро валерий шереметьево ирина пирожковый екатерина кондауров номинация прозапродобро владислав иванов денис дрыгин полина миляева номинация музыкапродобро скоро готовый авторский сборник хороший работа конкурсант мероприятие проводиться рамка политворческий проект продобро грантовый поддержка росмолодой жи участие ассоциация волонт рский центр мывместе росмолодой жь росмолодой жьгрант вкмп,90
100,сегодня международный день благотворительность щедрый вторник политех запускать благотворительный марафон мочь поддержать фонд целевой капитал развитие университет ноябрь декабрь переходить ссылка сделать пожертвование кнопка сделать вклад наш фонд входить крупный университетский эндаумент страна участник марафон получить памятный подарок политех благотворитель сделать крупный пожертвование торжественно наградить год летие университет,48
101,всеядный полуфинал международный чемпионат битва робот ребята нужный ваш поддержка команда чемпионат мочь выиграть приз зрительский симпатия сделать всеядный декабрь подписаться сообщество чемпионат битва робот перейти страница голосование выбрать любимый команда всеядный робот медоед решительно отдать свой голос,38
102,прош л самый масштабный кубок молодой история университет движение квн политех набирать оборот сезон присоединиться новый команда кубок молодой смело шутить нестандартно мыслить работать условие живой реакция публика место переходящий кубок завоевать команда простой простой поздравлять,36
103,екатерина мушенко новый героиня проект персона старший преподаватель иностранный язык высокий школа международный отношение гуманитарный институт приз р номинация хороший хороший конкурс хороший преподаватель глаз студент екатерина успевать совмещать несколько работа дать кий путешествие поход лес гриб саморазвитие ответ сайт политехпетраспецпроект,41
104,давать собер м смелый яркий амбициозный проект год премия башня политех отправлять заявка самостоятельно номинировать друг главное проект действовать реализовать год иметь результат смотреть номинация регистрироваться ссылка форма закрыться декабрь организатор мочь перераспределить проект номинация свой усмотрение политехпетрарекомендовать,38
105,добрый утро политех погода напоминать зима день желать интересный неделя,10
106,новый герой программа творец наука арутюн аветисян директор институт системный программирование п иванников доктор физико математический наука академик ран ещ арутюн ишханович мочь стать уч ным гордиться свой научный достижение получиться окружить замечательный человек инициатор развитие специальность кибербезопасность считать близкий время сильный ия появиться смотреть выпуск узнать почему системный программирование работать принцип простой сложный часть часть творцынауки,57
107,ещ зарегистрироваться вика проверить вика конкурс студент аспирант выпускной курс выбирать свой путь инженер будущее гений энергетический гуру агро волшебник экологический воин бизнес магнат хороший участник вика получить личный наставник командир индустрия эксклюзивный предложение трудоустройство поддержка гигант индустрия росатом роскосмос ростех многий возможность представить свой вкр лидер крупный российский корпорация министерство финал москва диплом сертификат подарок партнёр конкурс дополнительный балл бви поступление следующий уровень образование регистрация декабрь политехпетрарекомендовать,68
108,продолжать улучшать образовательный процесс вместе пройти опрос центр качество образование оценить свой образовательный программа ссылка декабрь,16
109,каждый подписчик наш сообщество проголосовать политех городской премия фонтанка ру признание влияние точно выиграть поддержать политехник шорты лист далее далее р переходить сайт премия ссылка авторизоваться социальный сеть номинация учебный заведение год голосовать санкт петербургский политехнический университет пётр великий,39
110,пост хотеть успеть поступить программа цифровой кафедра формула открыть дополнительный регистрация ноябрь ссылка выполнить проект который мочь стать основа портфолио резюме выход получить диплом профессиональный переподготовка присвоение квалификация сфера обучение онлайн формат обратный связь эксперт практик зачёт модуль мобильность трек карьерный адаптивность бакалавр курс магистр курс получение балл диплом конкурс портфолио поступление магистратура зависимость ваш направление подготовка доступный разный программа направление направление присоединяться политехпетрарекомендовать,64
111,пышка политехпетразагадка представить политех решить провести конкурс поедание пышка финал допускаться способный съесть менее сотня финал выйти политехник саша женя ма гоша известно победить женя гоша пара съесть пышка весь финал уничтожить пышка сколько съесть победитель,36
112,пойда экскурсия академия штиглица ноябрь подводить итог розыгрыш экскурсия полина трегубова антон шабан полина бехов дарья рыбаков полина тимошково экскурсия мария завьялов евгений бреденко саша бойко елизавета ананко поздравлять написать личный сообщение рассказать подробность весь участие политехпетра,37
