,text_tokens,text_length
0,новый опись влезть писать коммент,5
298,вопрос перевод слово слева нормальный поверхность галтель корень зуб право дефект изготовление автор писать правый картинка переводиться выемка надрез вырез никак мочь найти информация вид дефект помочь вопрос мочь слово рамка тема статья переводиться разный,35
299,перевестись институт первый семестр программный инженерия бизнес информатика иностранный студент бюджет,11
300,ребята сохранять контакт помочь учёба,5
301,девочка который снимать видео башня забыть наушник отн девушка сидеть вход,11
302,потерять пропуск сегодня дорога спорткомплекс политехник трамвайный остановка проспект непокорый нный сторона го корпус пропуск розовый обложка имя антонов анна ипмэит наслать написать,23
303,декабрь политехник превратить обычный предновогодний ночь настоящий праздник остаться последний партия билет больший часть распродать упустить свой шанс новогодний образ любимый хит атмосфера который позволить расслабиться забыть весь проблема наслаждаться праздник успеть купить билет подорожание сайт действовать групповой скидка шт заказ кожевенный линия севкабель порт,45
304,размещение рекламный публикация друг мочь разместить реклама свой паблик компания услуга наш группа ваш запись ежедневно видеть тысяча человек размещение уточнение информация писать личный сообщение сообщество,26
305,утром найти подорожник вход гз оставить охранник анон,8
306,найти пропуск оставить пост охрана корпус икнт,7
307,мочь решить задача теоретический механика найти лайкам,7
308,связать хим корпус анон,4
309,проходить экзамен ганин история россия насколько сильно нужно углубляться раскрывать вопрос,11
310,человек который переводиться иммит институт назвать ваш сравнить балл,9
311,наслать метро оставить охранник корпус,5
312,весь привет сегодня пара баскетбол пара курс парень шорты адидас полоска тёмный волос отозваться пара вопрос лайкнуть написать комма анон,20
313,находить белый флешка красный полоска корпус корпус,7
314,смочь сделать ргр статистика отписаться коммент лайкам написать цена договориться анон,11
315,смочь сделать презентация экономика стартап написать лайкам,7
316,сдавать экзамен терушкина практика группа сильно спрашивать,7
317,наслать карта кабинет корпус отдать вахта корпус,7
318,ребята сохранять контакт помочь учёба,5
319,ходить баскетбол курс отписаться анон,5
320,учиться международный менеджмент менеджмент строительство нравиться нравиться,7
321,ребята первокурсник писать тест платформа ксе отписаться сложный анон,9
322,анон влиять летучка допуск экзамен препод практика фарид,8
323,забыть флешка корпус аудитория серебристый мочь находить,7
324,сделать физр поменять вид спорт допустить плавание волейбол перезаписаться,9
325,потерять тетрадка гз автор александр малов,6
326,смочь написать сегодняшний день научный статья физр найти лайкам,9
327,помочь лабораторный работа химия денежка найти лайкам,7
328,отчислить университет получить допуск экзамен,5
329,получить незач предмет который сдавать экзамен случай получить допуск экзамен отчислить университет случай,13
330,поменять специализация физр зимний сессия сделать летний,7
331,лайкнуть вести вести вышмат смирнов елена алексеевич хотеть задать пара вопрос,11
332,анон злодей который творить туалет хим корпус итог решить интрига навести,11
