,text_tokens,text_length
39,день открытый дверь политех участник мастер класс институт студенческий объединение актуальный информация представитель институт поступление счастливчик который выиграть приз лотерея технообмен искать фотография писать комментарий день открытый дверь университет,29
40,день открытый дверь политех онлайн эфир сегодня ждать знакомство институт политех студенческий жизнь политех беседа активист беседа психолог прямой эфир ответ вопрос зритель приз политех лекция ответственный секретарь приёмный комиссия виталий викторович дробчик ответ вопрос зритель подключаться интересный,38
41,завтра главный учебный корпус политех открыть свой дверь абитуриент начн тся день открытый дверь очный формат ждать онлайн трансляция группа оставлять последний ссылка регистрация встреча,25
42,неожиданный включение узнать скоро,4
43,мастер класс день открытый дверь институт иэит мк увидеть наноспутник вести электроника криогенный температура продегустировать жидкий азот поджечь плазма познакомиться техника радиоэлектронный борьба радиоперехват ауд икнк ит квест головоломка профориентационный тест ауд ипмэит квиза деловой игра спасти сеть ауд ауд иси мастер класс моделирование мастер класс дизайн посещение виртуальный лаборатория исследование вредный фактор ауд ги викторина мастер класс ауд иэ презентация направление институт ауд иппт инженер профессия будущее презент ция подход цифровой инжиниринг ауд ибсиб мастер класс биотехнология биоинженерия биоинформатика ауд студенческий объединение экологический игра меморить ауд профсоюзный организация спбп проф профсоюзный викторин подарок ауд дегустация текстура мастер класс дегустация натуральный индикатор синий матч мастер класс молекулярный кухня ауд полироботех ауд ои адаптер небольшой рассказ ои активист ауд,118
44,тихвин ноябрь пройти ярмарка профессия учиться школа город тихвин старшеклассник мочь познакомиться направление подготовка различный вуз санкт петербург узнать специальность востребовать предприятие рада познакомиться школьник ленинградский область,27
45,день химия политех ноябрь политех пройти день химия организатор мероприятие стать центр выявление поддержка одарённый ребёнок академия талант санкт петербург день школьник учитель посетить лаборатория испытать свой знание научный мастер класс сотрудник институт биомедицинский система биотехнология ибсиб институт машиностроение материал транспорт иммит узнать интересный факт наш университет время экскурсия,49
46,безопасность превыше весь знать день год произойти первый массовый кибератака появиться необходимость специалист компьютерный информационный безопасность обычный пользователь важно соблюдать правило безопасный поведение интернет тщательно следить информация предоставлять иной ресурс задумываться карьера сфера защита данные жд м политех целый институт подготовка профессионал институт компьютерный наука кибербезопасность направление подготовка,48
47,жд воскресение онлайн часть день открытый дверь политех весь весь полезный информация политех поступать ответ ваш вопрос поступление знакомство институт интерактив встреча активист студенческий объединение онлайн трансляция пройти группа регистрация дод дод,32
48,политех участник международный научно образовательный салон хотеть узнать большой передовой образовательный программа получить ответ вопрос поступление посмотреть научный разработка наш университет получить консультация специалист состояние рынок труд перспектива трудоустройство посетить крутой мастер класс жд м сегодня завтра стенд политех место проведение выставочный центр экспофорум петербургский широта корп павильон подробный мероприятие,50
49,надеяться участник наш день открытый дверь счастливый ещё регистрироваться самый время,11
50,воскресение встретиться день открытый дверь политех пока рассказать жд день главный учебный корпус начало день открытый дверь активность студенческий объединение презентация спбп правило приём обзорный экскурсия университет мастер класс институт физический шоу химический шоу течение весь день открытый дверь мочь познакомиться весь институт стенд проконсультироваться приёмный комиссия военный учебный центр представитель подготовительный курс студенческий городок регистрация дод,57
51,политех топ качество подготовка специалист область искусственный интеллект ноябрь год пройти конференция искусственный интеллект ход который объявить результат первый страна рейтинг вуз качество подготовка специалист область искусственный интеллект рейтинг войти российский вуз который распределить группа лидер начинающий петербургский политех войти десятка лидер рейтинг включать группа вуз объединить результат оценка блок критерий востребованность выпускник наём актуальность процесс обучение сфера ия образовательный среда активность развитие школьный образование оценка основать данные открытый источник результат опрос данные получить министерство наука высокий образование рф,79
52,политех мочь стать хороший вуз санкт петербург поддержать наш университет вош л топ ежегодный городской премия фонтанка ру признание влияние декабрь переходить сайт премия ссылка авторизоваться социальный сеть номинация учебный заведение год голосовать санкт петербургский политехнический университет пётр великий проголосовать хороший,41
53,дерзать открывать политех совместно движение первый санкт петербург приглашать стать участник региональный хакатон наука район формула успешный развитие научно технический творчество хватать важный элемент твой талант программа хакатон стать жный проводник путь образовательный лекция мастер класс ярмарка научный эксперимент инженерный соревнование команда смочь создать свой проект торжественный открытие хакатон начало программа жд ноябрь стать участник регистрация,56
54,политех продолжать м заявка программа сириус лето начать свой проект причина участие возможность реализовать свой проект направление участие всероссийский международный конкурс работа преподаватель политех практика современный лаборатория научно образовательный центр университет возможность попробовать сфера который интересный принять участие зарегистрироваться сайт сириус создать личный кабинет выбрать проект подать заявка предложить перечень записаться проект система поиск тематический партнёр название проект успеть подать заявка подробный программа,63
55,год назад день состояться первый съезд российский психологический общество психолог появиться профессиональный праздник политех готовить специалист помогать профессия подробный направление рассказать наш видеоролик всеонаправление,24
56,неделя завершать знакомство высокий школа институт компьютерный наука кибербезопасность ноябрь пройти день открытый дверь высокий школа компьютерный технология информационный технология представитель институт рассказать особенность обучение правило приём вуз ответить вопрос абитуриент родитель ноябрь ауд главный учебный корпус ул политехнический регистрация ознакомиться направление институт ссылка дод,45
57,день открытый дверь политех маленький неделя поэтому советовать освободить декабрь провести выходной вместе дод ждать мастер класс институт представитель приёмный комиссия который помочь разобраться порядок поступление год крутой приз политех студент активист который рассказать вс внеучебный жизнь университет преподаватель который рассказать вс направление обучение вс формат очно онлайн регистрироваться ссылка,50
58,завтра молодой жный карьерный форум мкф форум который студент мочь вживую пообщаться работодатель задать вопрос расспросить компания узнать открытый стажировка вакансия общение работодатель ждать деловой активность мастер класс воркшоп деловой игра лекция конкурс подарок мерч компания самый активный студент мный комиссия магистратура ждать стенд проведа мастер класс поступить магистратура экзамен использовать образовательный проект университет сформировать уникальный набор навык регистрация форум,60
59,политех новосибирск продолжать путешествовать россия рассказывать абитуриент наш вуз навигатор поступление проводить выставка крупный город сибирь ноябрь г новосибирск гпнтб улица восход наш абитуриент житель новосибирск делиться комментарий обязательно нужно сходить ваш город,33
60,академия талант политех продолжать знакомить ребята класс больший вызов ноябрь декабрь ребята класс открыть направление современный энергетика космический технология беспилотный транспорт логистический система подать заявка ноябрь декабрь начаться подготовка направление генетика биомедицина новый материал больший дать искусственный интеллект финансовый технология машинный обучение подать заявка ноябрь подробность больший вызов,48
61,политех ярмарка профессия старшеклассник познакомиться профессия ярмарка компетенция будущее который проходить ноябрь протяжение день подросток иметь возможность познакомиться ведущий учебный заведение предприятие город освоить первый практический навык интересовать профессия мастер класс ярмарка принять участие преподаватель представитель комиссия политех сотрудник дать консультация школьник родитель поступление вуз помочь выбрать направление подходящий запрос абитуриент,51
62,готовиться егэ ещ начать ноябрь возможность записаться месячный курс подготовка егэ снизить цена скидка распространяться предмет получить скидка отправить заполнить заявление почта указать письмо промокод поль вс скидка ваш ознакомиться стоимость форма проведение занятие мочь ссылка,36
63,вжухнуть новый открытый лекторий преподаватель кафедра физика провести лекция тема термодинамика участник смочь увидеть следующий опыт броуновский движение внутренний трение воздух диффузия аммиак воздух зависимость теплопроводность воздух давление изотермический сжатие углекислый газ переход серный эфир критический состояние влияние давление температура плавление лёд опыт жидкий азот декабрь больший физический аудитория ауд главный учебный корпус спбп звать друг одноклассник регистрироваться ссылка,59
